words,ents,anns
(,-,
;,-,
«,-,
джава,-,
»,-,
),-,
—,-,
острів,-,
Великих,Великих | I-LOC,LOC
Зондських,-,LOC
островів,-,LOC
Малайського,Малайського | I-LOC,LOC
архіпелагу,архіпелагу | I-LOC,LOC
",",-,
розташований,-,
між,-,
Суматрою,Суматрою | I-LOC,LOC
та,-,
Балі,Балі | I-LOC,LOC
.,-,
Найважливіший,-,
острів,острів | I-LOC,
Індонезії,Індонезії | I-LOC,LOC
в,-,
політичному,політичному | I-LOC,
",",-,
економічному,-,
та,-,
етно,-,
-,-,
культурному,-,
плані,-,
.,-,
Площа,-,
острова,-,
становить,-,
Держава,-,
Ісландія,Ісландія | I-LOC,LOC
цілком,-,
займає,-,
острів,-,
"""",-,
Ісландію,Ісландію | I-LOC,LOC
"""",-,
та,-,
дрібні,-,
прилеглі,-,
вулканічні,-,
острови,-,
.,-,
Ісландія,Ісландія | I-LOC,LOC
18,-,
-,-,
й,-,
за,-,
площею,-,
острів,-,
у,-,
світі,-,
і,-,
другий,-,
у,-,
Європі,Європі | I-LOC,LOC
(,-,
після,-,
Великої,Великої | I-ORG,LOC
Британії,Британії | I-ORG,LOC
),) | I-ORG,
.,-,
Площа,-,
острова,-,
становить,-,
101,-,
826,-,
км,-,
²,-,
",",-,
а,-,
площа,-,
всієї,-,
країни,-,
з,-,
прилеглими,-,
островами,-,
—,-,
103,-,
.,-,
км,-,
²,-,
",",-,
з,-,
яких,-,
"62,7",-,
%,-,
займає,-,
тундра,-,
.,-,
23,-,
805,-,
км,-,
²,-,
країни,-,
обробляється,-,
",",-,
64,-,
538,-,
км,-,
²,-,
не,-,
використовується,-,
(,-,
гори,-,
",",-,
лавові,-,
поля,-,
),-,
.,-,
Ісландія,Ісландія | I-LOC,LOC
—,-,
типова,-,
вулканічна,-,
країна,-,
",",-,
яскраві,-,
та,-,
барвисті,-,
ландшафти,-,
якої,-,
утворені,-,
своєрідним,-,
поєднанням,-,
субарктичним,-,
положенням,-,
острова,-,
",",-,
активним,-,
вулканізмом,-,
",",-,
сучасним,-,
зледенінням,-,
і,-,
великою,-,
кількістю,-,
вологи,-,
в,-,
повітрі,-,
.,-,
"""",-,
Хоккайдо,-,LOC
"""",-,
(,-,
;,-,
",",-,
"""",-,
хоккай,-,
до,-,
"""",-,
",",-,
«,-,
Північноморський,-,
край,-,
»,-,
),-,
—,-,
острів,-,
у,-,
Тихому,-,LOC
океані,-,LOC
",",-,
другий,-,
за,-,
величиною,-,
у,-,
Японському,-,LOC
архіпелазі,архіпелазі | I-LOC,LOC
.,-,
Належить,-,
Японії,Японії | I-LOC,LOC
.,-,
Разом,-,
із,-,
меншими,-,
прилеглими,-,
островами,-,
утворює,-,
префектуру,-,
Хоккайдо,Хоккайдо | I-LOC,LOC
.,-,
В,-,
давнину,-,
називався,-,
"""",-,
Землею,-,LOC
Едзо,-,LOC
"""",-,
(,-,
;,-,
"""",-,
Демократична,Демократична | I-LOC,LOC
Соціалістична,Соціалістична | I-LOC,LOC
Республіка,Республіка | I-LOC,LOC
Шрі,Шрі | I-LOC,LOC
-,- | I-LOC,LOC
Ланка,Ланка | I-LOC,LOC
"""",-,
(,-,
",",-,
",",-,
до,-,
1972,-,
року,-,
Цейлон,Цейло́н | I-LOC,LOC
),-,
—,-,
країна,-,
і,-,
острів,-,
в,-,
північній,-,
частині,-,
Індійського,-,LOC
океану,-,LOC
за,-,
31,-,
км,-,
від,-,
південно,-,
-,-,
східного,-,
узбережжя,-,
Індії,Індії | I-LOC,LOC
.,-,
Площа,-,
всієї,-,
країни,-,
разом,-,
з,-,
морськими,-,
територіями,-,
—,-,
"""",-,
Острів,-,
Беркнер,Беркнер | I-LOC,LOC
"""",-,
або,-,
"""",-,
височина,-,LOC
Беркнер,-,LOC
"""",-,
—,-,
високий,-,
крижаний,-,
острів,-,
в,-,
Антарктиді,Антарктиді | I-LOC,LOC
",",-,
приблизно,-,
320,-,
км,-,
в,-,
довжину,-,
і,-,
135,-,
км,-,
в,-,
ширину,-,
",",-,
що,-,
базується,-,
на,-,
твердій,-,
основі,-,
—,-,
підводному,-,
піднесенні,-,
моря,-,LOC
Ведделла,-,LOC
.,-,
"""",-,
Аксел,-,LOC
-,-,LOC
Хейберґ,-,LOC
"""",-,
(,-,
),-,
—,-,
острів,-,
у,-,
Північному,-,LOC
Льдовитому,-,LOC
океані,-,LOC
в,-,
складі,-,
Канадського,-,LOC
Арктичного,Арктичного | I-LOC,LOC
архіпелагу,-,LOC
і,-,
частини,-,
Островів,-,LOC
Королеви,Королеви | I-PER,LOC
Єлизавети,Єлизавети | I-PER,LOC
.,. | I-PER,
Сьомий,-,
за,-,
розмірами,-,
острів,-,
Канади,Канади | I-LOC,LOC
та,-,
тридцять,-,
перший,-,
у,-,
світі,-,
.,-,
Площа,-,
—,-,
43,-,
178,-,
км,-,
²,-,
.,-,
Належить,-,
нунавутам,-,
Канади,Канади | I-LOC,LOC
.,-,
Найвища,-,
точка,-,
острова,-,
—,-,
гора,-,
Аутлук,-,LOC
-,-,LOC
Пік,-,LOC
(,-,
),-,
висотою,-,
2,-,
210,-,
м,-,
над,-,
рівнем,-,
моря,-,
.,-,
Острів,-,
був,-,
відкритий,-,
між,-,
1899,-,
та,-,
1902,-,
роками,-,
експедицією,-,
норвезького,-,
мореплавця,-,
Отто,Отто | I-PER,
Свердрупа,Свердрупа | I-PER,
(,-,
"""",-,
Саутгемптон,-,LOC
"""",-,
(,-,
),-,
—,-,
острів,-,
у,-,
Північному,-,LOC
Льодовитому,-,LOC
океані,-,LOC
в,-,
складі,-,
Канадського,-,LOC
Арктичного,Арктичного | I-LOC,LOC
архіпелагу,архіпелагу | I-LOC,LOC
на,-,
північ,-,
від,-,
Гудзонової,-,LOC
затоки,-,LOC
.,-,
Девятий,Девятий | I-PER,
за,-,
розмірами,-,
острів,-,
Канади,Канади | I-LOC,LOC
та,-,
тридцять,-,
четвертий,-,
у,-,
світі,-,
.,-,
"""",-,
Маражо,-,LOC
"""",-,
(,-,
),-,
—,-,
найбільший,-,
річковий,-,
острів,-,
планети,-,
й,-,
найбільший,-,
острів,-,
Бразилії,Бразилії | I-LOC,LOC
"""",-,
Тайвань,-,LOC
"""",-,
",",-,
або,-,
"""",-,
Тайван,-,LOC
"""",-,
(,-,
або,-,
台灣,-,
",",-,
"""",-,
Táiwān,-,
"""",-,
;,-,
тайванська,-,
Tâi,-,
-,-,
oân,-,
),-,
—,-,
острів,-,
у,-,
Східній,Східній | I-LOC,LOC
Азії,Азії | I-LOC,LOC
.,-,
Керується,-,
урядом,-,
Республіки,Республіки | I-LOC,LOC
Китай,Китай | I-LOC,LOC
",",-,
яка,-,
також,-,
володіє,-,
Охрідськими,-,LOC
островами,-,LOC
",",-,
Зеленими,-,LOC
островами,-,LOC
у,-,
Тихому,-,LOC
океані,-,LOC
",",-,
а,-,
також,-,
Пескадорськими,-,LOC
",",-,
Кінменськими,-,LOC
і,-,
островами,-,LOC
Мацу,Мацу | I-LOC,LOC
.,-,
Окрім,-,
Республіки,Республіки | I-LOC,LOC
Китай,Китай | I-LOC,LOC
",",-,
на,-,
володіння,-,
островом,-,
претендує,-,
комуністичний,-,
уряд,-,
Китайської,Китайської | I-LOC,LOC
Народної,Народної | I-LOC,LOC
Республіки,Республіки | I-LOC,LOC
.,-,
Найбільше,-,
місто,-,
—,-,
Сіньбей,Сіньбей | I-LOC,LOC
.,-,
Розташований,-,
у,-,
південній,-,
частині,-,
Східної,Східної | I-LOC,LOC
Азії,Азії | I-LOC,LOC
",",-,
на,-,
південний,-,
схід,-,
від,-,
континентального,-,
Китаю,Китаю | I-LOC,LOC
.,. | I-LOC,
На,-,
сході,-,
і,-,
північному,-,
сході,-,
Тайвань,Тайвань | I-LOC,LOC
межує,-,
з,-,
водами,-,
Японії,Японії | I-LOC,LOC
і,-,
островами,-,
Рюкю,Рюкю | I-LOC,LOC
.,-,
На,-,
південь,-,
від,-,
нього,-,
розташовані,-,
Філіппіни,Філіппіни | I-LOC,LOC
.,-,
Тайвань,Тайвань | I-LOC,LOC
омивається,-,
Тихим,Тихим | I-LOC,LOC
океаном,-,LOC
на,-,
сході,-,
",",-,
Південно,Південно | I-LOC,LOC
-,-,LOC
Китайським,Китайським | I-LOC,LOC
морем,-,LOC
і,-,
Лусонською,-,LOC
протокою,-,LOC
на,-,
півдні,-,
",",-,
Тайванською,-,LOC
протокою,-,LOC
на,-,
заході,-,
і,-,
Східно,Східно | I-LOC,LOC
-,-,LOC
Китайським,Китайським | I-LOC,LOC
морем,-,LOC
на,-,
сході,-,
.,-,
Площа,-,
острова,-,
становить,-,
35.801,-,
км,-,
²,-,
",",-,
довжина,-,
—,-,
394,-,
км,-,
",",-,
ширина,-,
—,-,
144,-,
км,-,
.,-,
На,-,
Тайвані,Тайвані | I-LOC,LOC
переважають,-,
скелясті,-,
уступчасті,-,
гори,-,
вкриті,-,
тропічними,-,
і,-,
субтропічними,-,
лісами,-,
.,-,
Традиційна,-,
європейська,-,
назва,-,
—,-,
"""",-,
Формоза,-,LOC
"""",-,
(,-,
",",-,
"""",-,
Південний,-,LOC
острів,-,LOC
"""",-,
—,-,
острів,-,
архіпелагу,-,
Нова,-,LOC
Земля,-,LOC
",",-,
відокремлений,-,
від,-,
Північного,-,LOC
острова,-,LOC
вузькою,-,
протокою,-,
Маточкин,-,LOC
Шар,-,LOC
(,-,
2,-,
-,-,
3,-,
км,-,
),-,
",",-,
від,-,
острова,-,
Вайгач,-,LOC
протокою,-,
Карські,-,LOC
Ворота,-,LOC
(,-,
шириною,-,
близько,-,
50,-,
км,-,
),-,
.,-,
Адміністративно,-,
входить,-,
в,-,
Архангельську,Архангельську | I-LOC,LOC
область,область | I-LOC,LOC
Росії,Росії | I-LOC,LOC
.,-,
Площа,-,
острова,-,
33,-,
275,-,
км,-,
²,-,
",",-,
це,-,
третій,-,
по,-,
величині,-,
острів,-,
Росії,Росії | I-LOC,LOC
після,-,
Сахаліну,Сахаліну | I-LOC,LOC
і,-,
Північного,Північного | I-LOC,LOC
острова,-,LOC
.,-,
У,-,
1950,-,
-,-,
х,-,
роках,-,
тубільне,-,
населення,-,
-,-,
-,-,
ненці,-,
були,-,
виселенні,-,
на,-,
материк,-,
",",-,
звільнення,-,
тереторії,-,
під,-,
ядерні,-,
випробування,-,
.,-,
"""",-,
Сицилія,-,LOC
"""",-,
(,-,
"""",-,
Sicilia,-,
"""",-,
),-,
—,-,
найбільший,-,
острів,-,
у,-,
Середземному,-,LOC
морі,морі | I-LOC,LOC
",",-,
область,-,
з,-,
особливим,-,
статусом,-,
в,-,
Італії,Італії | I-LOC,LOC
на,-,
острові,-,
"""",-,
Сицилія,Сицилія | I-ORG,LOC
"""",""" | I-ORG",
",",-,
відокремлений,-,
від,-,
південно,-,
-,-,
західної,-,
окраїни,-,
материка,-,
Мессінською,-,LOC
протокою,-,LOC
",",-,
розподілена,-,
на,-,
провінції,-,
Агрідженто,Агрідженто | I-LOC,LOC
(,-,
AG,-,
),-,
",",-,
Енна,-,LOC
(,-,
EN,-,
),-,
",",-,
Кальтаніссетта,-,LOC
(,-,
CL,-,
),) | I-ORG,
",",-,
Катанія,Катанія | I-LOC,LOC
(,-,
CT,-,
),-,
",",-,
Мессіна,Мессіна | I-LOC,LOC
(,-,
ME,-,
),-,
",",-,
Палермо,Палермо | I-LOC,LOC
(,-,
PA,-,
),) | I-ORG,
",",-,
Рагуза,Рагуза | I-LOC,LOC
(,-,
RG,RG | I-LOC,
),-,
",",-,
Сіракуза,-,LOC
(,-,
SR,-,
),-,
й,-,
Трапані,-,LOC
(,-,
TP,-,
),-,
.,-,
"""",-,
Сомерсет,-,LOC
"""",-,
(,-,
),-,
—,-,
горбистий,-,
острів,-,
(,-,
висота,-,
до,-,
762,-,
м,-,
),-,
у,-,
Північному,-,LOC
Льодовитому,-,LOC
океані,-,LOC
в,-,
складі,-,
Канадського,-,LOC
Арктичного,-,LOC
архіпелагу,архіпелагу | I-LOC,LOC
.,-,
Розташований,-,
на,-,
північ,-,
від,-,
півострова,-,LOC
Бутія,Бутія | I-LOC,LOC
і,-,
на,-,
південь,-,
від,-,
протоки,-,LOC
Барроу,Барроу | I-LOC,LOC
.,-,
Площа,-,
24,-,
786,-,
км,-,
²,-,
(,-,
12,-,
-,-,
й,-,
за,-,
територією,-,
острів,-,
у,-,
Канаді,Канаді | I-LOC,LOC
;,-,
45,-,
-,-,
й,-,
у,-,
світі,-,
),-,
.,-,
Належить,-,
території,-,
Канади,Канади | I-LOC,LOC
Нунавут,Нунавут | I-LOC,LOC
.,-,
Перші,-,
мешканці,-,
острова,-,
були,-,
1000,-,
років,-,
тому,-,
—,-,
предки,-,
приморських,-,
індіанців,-,
та,-,
народу,-,
інуктітут,-,
.,-,
У,-,
1848,-,
році,-,
на,-,
острів,-,
прибув,-,
англієць,-,
Джеймс,Джеймс | I-PER,
Кларк,Кларк | I-PER,
Росс,Росс | I-PER,
:,-,
він,-,
став,-,
першим,-,
дослідником,-,
-,-,
європейцем,-,
",",-,
що,-,
висадився,-,
на,-,
острів,-,
.,-,
У,-,
1937,-,
Компанія,-,
Гудзонової,Гудзонової | I-LOC,LOC
затоки,-,LOC
заснувала,-,
факторію,-,
Форт,-,LOC
-,-,LOC
Росс,-,LOC
(,-,
),-,
",",-,
яка,-,
працювала,-,
на,-,
острові,-,
близько,-,
одинадцяти,-,
років,-,
.,-,
У,-,
теперішній,-,
час,-,
острів,-,
незаселений,-,
.,-,
"""",-,
Сардинія,-,LOC
"""",-,
(,-,
",",-,
),-,
—,-,
острів,-,
у,-,
Середземному,-,LOC
морі,морі | I-LOC,LOC
",",-,
розташований,-,
на,-,
захід,-,
від,-,
Апеннінського,Апеннінського | I-LOC,LOC
півострова,півострова | I-LOC,LOC
між,-,
Сицилією,Сицилією | I-LOC,LOC
та,-,
Корсикою,Корсикою | I-LOC,LOC
",",-,
є,-,
другим,-,
за,-,
величиною,-,
островом,-,
Середземного,-,LOC
моря,-,LOC
.,-,
Входить,-,
до,-,
складу,-,
Італії,Італії | I-LOC,LOC
як,-,
автономний,-,
регіон,-,
(,-,
автономна,автономна | I-LOC,
область,-,
),-,
Сардинія,Сардинія | I-LOC,LOC
(,-,
",",-,
),-,
.,-,
Область,Область | I-LOC,
Сардинія,Сардинія | I-LOC,LOC
поділяється,-,
на,-,
8,-,
провінцій,-,
:,-,
Кальярі,Кальярі | I-LOC,LOC
(,-,
CA,-,
),-,
",",-,
Карбонія,Карбонія | I-LOC,LOC
-,-,LOC
Іґлезіас,-,LOC
(,-,
CI,-,
),-,
",",-,
Медіо,Медіо | I-LOC,LOC
-,-,LOC
Кампідано,-,LOC
(,-,
VS,-,
),-,
",",-,
Нуоро,-,LOC
(,-,
NU,-,
),-,
",",-,
Ольястра,-,LOC
(,-,
OG,-,
),) | I-ORG,
",",-,
Ольбія,Ольбія | I-LOC,LOC
-,- | I-LOC,LOC
Темпіо,Темпіо | I-LOC,LOC
(,-,
OT,-,
),-,
",",-,
Орістано,-,LOC
(,-,
OR,-,
),-,
та,-,
Сассарі,-,LOC
(,-,
SS,-,
),-,
.,-,
Площа,-,
24090,-,
км,-,
²,-,
",",-,
населення,-,
"""",-,
Сікоку,-,LOC
"""",-,
",",-,
або,-,
"""",-,
Шікоку,Шікоку | I-ORG,LOC
"""",-,
(,-,
",",-,
«,-,
чотири,-,
провінції,-,
»,-,
),-,
—,-,
найменший,-,
з,-,
чотирьох,-,
великих,-,
островів,-,
Японського,Японського | I-LOC,LOC
архіпелагу,архіпелагу | I-LOC,LOC
.,-,
З,-,
півночі,-,
",",-,
сходу,-,
й,-,
заходу,-,
омивається,-,
Внутрішнім,-,
японським,-,LOC
морем,-,LOC
",",-,
а,-,
з,-,
півдня,-,
—,-,
Тихим,Тихим | I-LOC,LOC
океаном,-,LOC
.,-,
Названий,-,
на,-,
честь,-,
чотирьох,-,
провінцій,-,
острова,-,
—,-,
Ава,Ава | I-LOC,LOC
",",-,
Ійо,Ійо | I-LOC,LOC
",",-,
Санукі,Санукі | I-LOC,LOC
й,-,
Тоса,Тоса | I-PER,LOC
.,. | I-PER,
У,-,
другій,-,
половині,-,
19,-,
століття,-,
вони,-,
були,-,
перетворені,-,
на,-,
чотири,-,
префектури,-,
—,-,
Токушіма,Токушіма | I-LOC,LOC
",",-,
Ехіме,Ехіме | I-LOC,LOC
",",-,
Каґава,Каґава | I-LOC,LOC
й,-,
Коті,Коті | I-LOC,LOC
.,-,
Слово,-,
«,« | I-ORG,
Сікоку,Сікоку | I-ORG,LOC
»,-,
має,-,
подвійне,-,
смислове,-,
навантаження,-,
.,-,
У,-,
вузькому,-,
значенні,-,
ним,-,
позначають,-,
лише,-,
острів,-,
Сікоку,Сікоку | I-LOC,LOC
.,-,
У,-,
широкому,-,
значенні,-,
—,-,
"""",-,
регіон,-,
Сікоку,Сікоку | I-LOC,LOC
"""",-,
(,-,
(,-,
Карта,-,
=,-,
New,-,
Caledonia,-,
and,-,
Vanuatu,-,
bathymetric,-,
and,-,
topographic,-,
map,-,
-,-,
fr.jpg,-,
),-,
"""",-,
Тарстон,-,LOC
"""",-,
чи,-,
"""",-,
Терстон,-,LOC
"""",-,
(,-,
),-,
—,-,
покритий,-,
льодом,-,
острів,-,
",",-,
розташований,-,
в,-,
Антарктиді,Антарктиді | I-LOC,LOC
",",-,
біля,-,
північно,-,
-,-,
західного,-,
узбережжя,-,
Землі,-,LOC
Елсворта,-,LOC
.,-,
Розміри,-,
острова,-,
становлять,-,
215x90,-,
км,-,
",",-,
це,-,
третій,-,
за,-,
розміром,-,
острів,-,
в,-,
Антарктиді,-,LOC
після,-,
Землі,-,LOC
Олександра,Олександра | I-PER,LOC
I,I | I-PER,
та,-,
острова,-,
Беркнер,Беркнер | I-LOC,LOC
.,-,
З,-,
берегом,-,
континенту,-,
звязаний,-,
через,-,
шельфовий,-,
льодовик,-,LOC
Аббота,-,LOC
.,-,
(,-,
Карта,-,
підпис,-,
=,-,
Острів,-,LOC
Жовтневої,Жовтневої | I-LOC,LOC
Революції,Революції | I-LOC,LOC
на,-,
мапі,-,
Північної,Північної | I-LOC,LOC
Землі,-,LOC
),-,
(,-,
Місце,-,
=,-,
Арктика,-,LOC
",",-,
Північний,-,LOC
Льодовитий,-,LOC
океан,-,LOC
",",-,
Карське,-,LOC
та,-,
Море,-,LOC
Лаптєвих,-,LOC
),-,
(,-,
Карта,-,
розташування1,-,
=,-,
Росія,Росія | I-LOC,LOC
Красноярський,Красноярський | I-LOC,LOC
край,край | I-LOC,LOC
Таймирський,-,LOC
Долгано,-,LOC
-,-,LOC
Ненецький,Ненецький | I-LOC,LOC
район,район | I-LOC,LOC
),-,
"""",-,
Флорес,-,LOC
"""",-,
—,-,
острів,-,
в,-,
складі,-,
Малих,Малих | I-LOC,LOC
Зондських,Зондських | I-LOC,LOC
островів,островів | I-LOC,LOC
",",-,
в,-,
Індонезії,Індонезії | I-LOC,LOC
.,-,
Площа,-,
15,-,
175,-,
км,-,
²,-,
.,-,
Свою,-,
назву,-,
",",-,
яка,-,
відображає,-,
багатство,-,
флори,-,
острова,-,
(,-,
мусонні,-,
листопадні,-,
ліси,-,
",",-,
савани,-,
),-,
",",-,
отримав,-,
від,-,
португальських,-,
мореплавців,-,
.,-,
На,-,
острові,-,
гори,-,
з,-,
численними,-,
вулканами,-,
(,-,
Левотобі,-,LOC
та,-,
інші,-,
),-,
",",-,
висота,-,
до,-,
2,-,
400,-,
м,-,
;,-,
вздовж,-,
північного,-,
побережжя,-,
—,-,
горбисті,-,
рівнини,-,
.,-,
Вирощування,-,
рису,-,
",",-,
кукурудзи,-,
",",-,
кокосових,-,
пальм,-,
.,-,
Острів,-,
широко,-,
відомий,-,
світу,-,
передовсім,-,
своїми,-,
археологічними,-,
знахідками,-,
(,-,
карликовий,-,
слон,-,
",",-,
флореська,-,
людина,-,
чи,-,
гобіт,-,
),-,
.,-,
"""",-,
Йос,-,LOC
-,-,LOC
Сударсо,-,LOC
"""",-,
—,-,
острів,-,
в,-,
Арафурському,-,LOC
морі,-,LOC
",",-,
розташований,-,
біля,-,
південно,-,
-,-,
західного,-,
краю,-,
острова,-,
Нова,Нова | I-LOC,LOC
Гвінея,Гвінея | I-LOC,LOC
і,-,
відокремлений,-,
від,-,
нього,-,
вузькою,-,
протокою,-,
(,-,
протока,-,LOC
Мулі,-,LOC
),-,
.,-,
Довжина,-,
острова,-,
становить,-,
180,-,
км,-,
",",-,
при,-,
максимальній,-,
ширині,-,
до,-,
100,-,
км,-,
.,-,
Площа,-,
(,-,
Місце,-,
=,-,
Південно,Південно | I-LOC,LOC
-,- | I-LOC,LOC
Східна,Східна | I-LOC,LOC
Азія,Азія | I-LOC,LOC
",",-,
Південнокитайське,-,LOC
море,-,LOC
",",-,
Яванське,-,LOC
море,-,LOC
-,-,
-,-,
>,-,
),-,
"""",-,
Банка,-,LOC
"""",-,
(,-,
також,-,
"""",-,
Бангка,-,LOC
"""",-,
),-,
—,-,
острів,-,
",",-,
розташований,-,
на,-,
схід,-,
від,-,
Суматри,Суматри | I-LOC,LOC
",",-,
належить,-,
Індонезії,Індонезії | I-LOC,LOC
.,-,
Населення,-,
особи,-,
(,-,
2010,-,
),-,
.,-,
Площа,-,
острова,-,
"""",-,
Елфа,-,LOC
Рінґнеса,-,LOC
"""",-,
(,-,
),-,
—,-,
острів,-,
у,-,
Північному,-,LOC
Льдовитому,-,LOC
океані,-,LOC
в,-,
складі,-,
Канадського,-,LOC
Арктичного,Арктичного | I-LOC,LOC
архіпелагу,-,LOC
і,-,
частини,-,
островів,-,LOC
Королеви,Королеви | I-PER,LOC
Єлизавети,Єлизавети | I-PER,LOC
.,. | I-PER,
Шістнадцятий,-,
за,-,
розмірами,-,
острів,-,
Канади,Канади | I-LOC,LOC
та,-,
шістдесят,-,
дев’ятий,-,
у,-,
світі,-,
.,-,
Має,-,
площу,-,
11,-,
295,-,
км,-,
²,-,
",",-,
і,-,
належить,-,
території,-,
Канади,Канади | I-LOC,LOC
Нунавут,Нунавут | I-LOC,LOC
.,-,
Найвища,-,
точка,-,
острова,-,
260,-,
м,-,
над,-,
рівнем,-,
моря,-,
.,-,
Острів,-,
був,-,
відкритий,-,
між,-,
1899,-,
та,-,
1902,-,
роками,-,
експедицією,-,
норвезького,-,
мореплавця,-,
Отто,Отто | I-PER,
Свердрупа,Свердрупа | I-PER,
(,-,
),-,
.,-,
Названо,-,
на,-,
честь,-,
норвезького,-,
броваря,-,
Елфа,-,LOC
Рінґнеса,Рінґнеса | I-PER,LOC
і,-,
належав,-,
Норвегії,Норвегії | I-LOC,LOC
до,-,
1930,-,
року,-,
.,-,
(,-,
підпис,-,
=,-,
Айсберг,-,
на,-,
північно,-,
-,-,
східному,-,
узбережжі,-,
острова,-,
Більшовик,Більшовик | I-LOC,LOC
),-,
(,-,
Місце,-,
=,-,
Арктика,-,LOC
",",-,
Північний,-,LOC
Льодовитий,-,LOC
океан,-,LOC
",",-,
Карське,-,LOC
та,-,
Море,-,LOC
Лаптєвих,-,LOC
),-,
(,-,
Карта,-,
розташування1,-,
=,-,
Росія,Росія | I-LOC,LOC
Красноярський,Красноярський | I-LOC,LOC
край,край | I-LOC,LOC
Таймирський,-,LOC
Долгано,-,LOC
-,-,LOC
Ненецький,Ненецький | I-LOC,LOC
район,район | I-LOC,LOC
),-,
"""",-,
Байлот,-,LOC
"""",-,
(,-,
),-,
—,-,
острів,-,
у,-,
Північному,-,LOC
Льодовитому,-,LOC
океані,-,LOC
в,-,
складі,-,
Канадського,-,LOC
Арктичного,-,LOC
архіпелагу,архіпелагу | I-LOC,LOC
.,-,
Сімнадцятий,-,
за,-,
розмірами,-,
острів,-,
у,-,
Канаді,Канаді | I-LOC,LOC
і,-,
сімдесят,-,
перший,-,
у,-,
світі,-,
.,-,
Має,-,
площу,-,
11,-,
67,-,
км,-,
²,-,
—,-,
належить,-,
території,-,
Нунавут,Нунавут | I-LOC,LOC
Канади,Канади | I-LOC,LOC
.,-,
Острів,-,
має,-,
180,-,
км,-,
довжиною,-,
і,-,
110,-,
км,-,
шириною,-,
.,-,
Найвища,-,
точка,-,
на,-,
острові,-,
—,-,
гора,-,
"""",-,
Ангілаак,-,LOC
"""",-,
(,-,
),-,
з,-,
висотою,-,
1,-,
951,-,
м,-,
над,-,
рівнем,-,
моря,-,
.,-,
Острів,-,
ненаселений,ненаселений | I-LOC,
.,-,
На,-,
території,-,
острова,-,
розташовано,-,
Національний,-,
парк,-,
Сермілик,-,LOC
і,-,
частину,-,
Арктичної,-,LOC
Корділлери,-,LOC
.,-,
Острів,-,
названо,-,
на,-,
честь,-,
британського,-,
мореплавця,-,
Роберта,Роберта | I-PER,
