words,ents,anns
Північній,Північній | I-LOC,LOC
Америці,Америці | I-LOC,LOC
",",-,
завглибшки,-,
614,-,
м,-,
",",-,
і,-,
девяте,-,
за,-,
величиною,-,
озеро,-,
у,-,
світі,-,
",",-,
розташовано,-,
на,-,
висоті,-,
156,-,
м,-,
над,-,
рівнем,-,
моря,-,
.,-,
Завдовжки,-,
480,-,
км,-,
і,-,
завширшки,-,
від,-,
19,-,
до,-,
109,-,
км,-,
.,-,
Займає,-,
площу,-,
971000,-,
км,-,
"""",-,
2,-,
"""",-,
.,-,
Обєм,Обєм | I-PER,
становить,-,
2090,-,
км,-,
³,-,
.,-,
Протягом,-,
восьми,-,
місяців,-,
на,-,
рік,-,
озеро,-,
скуте,-,
кригою,-,
.,-,
Взимку,-,
крига,-,
може,-,
витримати,-,
вантажівку,-,
.,-,
До,-,
1967,-,
",",-,
поки,-,
навколо,-,
озера,-,
не,-,
побудували,-,
постійне,-,
шосе,-,
",",-,
крам,-,
в,-,
Єллоунайф,-,LOC
",",-,
що,-,
розташований,-,
на,-,
північному,-,
березі,-,
",",-,
завозився,-,
кригою,-,
.,-,
Й,-,
наразі,-,
крам,-,
та,-,
паливо,-,
взимку,-,
доставляються,-,
кригою,-,
до,-,
діамантових,-,
копалень,-,
",",-,
розташованих,-,
у,-,
верхівях,-,
річки,-,
Коппермайн,Коппермайн | I-LOC,LOC
.,-,
Основні,-,
річки,-,
",",-,
що,-,
впадають,-,
в,-,
озеро,-,
—,-,
річка,-,
Хей,Хей | I-LOC,LOC
і,-,
Невільнича,-,LOC
(,-,
),-,
.,-,
З,-,
озера,-,
витікає,-,
річка,-,
Макензі,Макензі | I-LOC,LOC
.,-,
Західний,Західний | I-LOC,
берег,-,
покритий,-,
лісом,-,
",",-,
на,-,
східному,-,
і,-,
північному,-,
—,-,
тундра,-,
.,-,
Поряд,-,
з,-,
такими,-,
озерами,-,
як,-,
Велике,-,LOC
Ведмеже,-,LOC
озеро,-,LOC
і,-,
Атабаска,-,LOC
",",-,
воно,-,
є,-,
залишком,-,
давнього,-,
великого,-,
прильодовикового,-,
озера,-,
Макконнелл,-,LOC
.,-,
Східний,-,
рукав,-,
Великого,-,LOC
Невільничого,-,LOC
озера,-,LOC
",",-,
багатий,-,
островами,-,
",",-,
надзвичайно,-,
мальовничий,-,
:,-,
тут,-,
зустрічаються,-,
скелі,-,
",",-,
які,-,
здіймаються,-,
вгору,-,
і,-,
бурхливі,-,
річки,-,
.,-,
Півострів,Півострів | I-LOC,LOC
Петей,Петей | I-LOC,LOC
(,-,
),-,
поділяє,-,
Східний,Східний | I-LOC,LOC
рукав,-,LOC
на,-,
бухту,-,
Маклеод,-,LOC
(,-,
),-,
на,-,
півночі,-,
і,-,
бухту,-,
Крісті,-,LOC
(,-,
),-,
на,-,
півдні,-,
.,-,
Єдине,-,
селище,-,
на,-,
Східному,-,LOC
рукаві,-,LOC
—,-,
Люцел,-,LOC
Ке,-,LOC
(,-,
"""",-,
Велике,-,LOC
Солоне,-,LOC
озеро,-,LOC
"""",-,
(,-,
),-,
—,-,
безстічне,-,
озеро,-,
у,-,
західній,-,
частині,-,
США,США | I-LOC,LOC
",",-,
у,-,
північно,-,
-,-,
західній,-,
частині,-,
штату,-,
Юта,Юта | I-LOC,LOC
.,-,
Стародавнім,-,
попередником,-,
озера,-,
є,-,
крупне,-,
прісне,-,
озеро,-,
Бонневілл,-,LOC
",",-,
що,-,
ніколи,-,
не,-,
мало,-,
стоку,-,
в,-,
океан,-,
.,-,
Про,-,
розміри,-,
попередника,-,
Великого,-,LOC
Солоного,-,LOC
озера,-,
можна,-,
судити,-,
по,-,
відкладеннях,-,
в,-,
районі,-,
сучасного,-,
озера,-,
.,-,
Рівень,-,
води,-,
у,-,
Великому,-,LOC
Солоному,-,LOC
озері,-,LOC
",",-,
знаходячись,-,
в,-,
сильній,-,
залежності,-,
від,-,
атмосферних,-,
опадів,-,
",",-,
рік,-,
від,-,
року,-,
непостійний,-,
і,-,
",",-,
відповідно,-,
",",-,
площа,-,
озера,-,
також,-,
зазнає,-,
змін,-,
(,-,
так,-,
",",-,
біля,-,
1850,-,
площа,-,
озера,-,
становила,-,
"4,6",-,
тис,-,
.,-,
км,-,
2,-,
",",-,
а,-,
всього,-,
через,-,
декілька,-,
років,-,
",",-,
в,-,
1873,-,
—,-,
вже,-,
"5,7",-,
тис,-,
.,-,
км,-,
²,-,
.,-,
До,-,
початку,-,
XX,-,
ст,-,
.,-,
Велике,-,LOC
Солоне,-,LOC
озеро,-,LOC
майже,-,
пересохло,-,
",",-,
але,-,
вже,-,
в,-,
1925,-,
його,-,
площа,-,
наближалася,-,
до,-,
5,-,
тис,-,
.,-,
км,-,
²,-,
),-,
.,-,
Солоність,-,
води,-,
в,-,
озері,-,
змінюється,-,
залежно,-,
від,-,
його,-,
площі,-,
;,-,
у,-,
окремі,-,
роки,-,
солоність,-,
досягала,-,
300,-,
‰,-,
(,-,
найменша,-,
зафіксована,-,
солоність,-,
—,-,
137,-,
‰,-,
),-,
.,-,
Середня,-,
глибина,-,
озера,-,
—,-,
"4,5",-,
—,-,
"7,5",-,
м,-,
",",-,
найбільша,-,
—,-,
15,-,
м,-,
(,-,
амплітуда,-,
коливань,-,
рівня,-,
протягом,-,
століття,-,
склала,-,
близько,-,
5,-,
м,-,
),-,
.,-,
Висота,-,
над,-,
рівнем,-,
моря,-,
—,-,
1,-,
280,-,
м,-,
.,-,
Стоку,-,
не,-,
має,-,
;,-,
у,-,
озеро,-,
впадають,-,
невеликі,-,
річки,-,
—,-,
Бер,-,
(,-,
найбільша,-,
),-,
",",-,
Вебер,Вебер | I-PER,LOC
",",-,
Джордан,Джордан | I-PER,LOC
та,-,
ін,ін | I-PER,
.,. | I-PER,
Остання,Остання | I-PER,
бере,-,
початок,-,
на,-,
південь,-,
від,-,
Великого,Великого | I-LOC,LOC
Солоного,-,LOC
озера,-,LOC
",",-,
в,-,
озері,-,
Юта,Юта | I-LOC,LOC
.,-,
Найбільший,-,
обєм,-,
води,-,
перераховані,-,
річки,-,
приносять,-,
в,-,
озеро,-,
влітку,-,
",",-,
під,-,
час,-,
танення,-,
снігів,-,
в,-,
горах,-,
Уосач,-,LOC
;,-,
у,-,
цей,-,
період,-,
рівень,-,
води,-,
в,-,
середньому,-,
підвищується,-,
на,-,
40,-,
см,-,
.,-,
Островів,-,
мало,-,
",",-,
найбільший,-,
з,-,
них,-,
—,-,
Антилоп,-,LOC
.,-,
Озеро,-,
служить,-,
джерелом,-,
глауберової,-,
та,-,
кухонної,-,
солі,-,
;,-,
загальний,-,
запас,-,
солей,-,
в,-,
озері,-,
в,-,
другій,-,
половині,-,
XX,-,
ст,-,
.,-,
оцінювався,-,
в,-,
6,-,
млрд,-,
тон,-,
.,-,
Береги,-,
озера,-,
були,-,
безлюдною,-,
пустелею,-,
до,-,
1848,-,
",",-,
коли,-,
сюди,-,
пришли,-,
мормони,-,
;,-,
за,-,
допомогою,-,
штучного,-,
зрошування,-,
околиці,-,
озера,-,
сталі,-,
придатні,-,
для,-,
сільського,-,
господарства,-,
;,-,
на,-,
річці,-,
Джордан,Джордан | I-PER,LOC
мормонами,мормонами | I-PER,
було,-,
засновано,-,
місто,-,
Солт,Солт | I-LOC,LOC
-,- | I-LOC,LOC
Лейк,Лейк | I-LOC,LOC
-,- | I-LOC,LOC
Сіті,-,LOC
(,-,
«,-,
Місто,-,LOC
Солоного,Солоного | I-LOC,LOC
озера,-,LOC
»,-,
),-,
",",-,
що,-,
нині,-,
є,-,
столицею,-,
штату,-,
Юта,Юта | I-LOC,LOC
і,-,
найбільшим,-,
поселенням,-,
на,-,
березі,-,
озера,-,
(,-,
іншим,-,
містом,-,
на,-,
березі,-,
озера,-,
є,-,
Огден,-,LOC
),-,
.,-,
Східний,Східний | I-LOC,
берег,-,
озера,-,
населений,-,
більше,-,
західного,-,
.,-,
Уздовж,-,
східного,-,
і,-,
південного,-,
берегів,-,
озера,-,
(,-,
частково,-,
—,-,
по,-,
греблі,-,
завдовжки,-,
близько,-,
40,-,
км,-,
),-,
проходить,-,
Південна,Південна | I-LOC,LOC
Тихоокеанська,-,LOC
(,-,
(,-,
міста,-,
=,-,
Карлстад,Карлстад | I-LOC,LOC
",",-,
Крістінехамн,Крістінехамн | I-LOC,LOC
",",-,
Марієстад,-,LOC
",",-,
Лінчепінг,-,LOC
та,-,
Венерсборг,-,LOC
),-,
(,-,
середня_глибина,-,
=,-,
38,-,
м,-,
Danforth,-,
Prince,-,
.,-,
.,-,
—,-,
Hoboken,-,
",",-,
New,-,
Jersey,-,
:,-,
Wiley,Wiley | I-ORG,
Publishing,-,
",",-,
Inc,Inc | I-ORG,
.,-,
—,-,
2009,-,
.,-,
P,-,
.,-,
281,-,
.,-,
),-,
(,-,
острови,-,
