words,ents,anns
і,-,
річки,-,
Північний,Північний | I-LOC,LOC
Саскачеван,Саскачеван | I-LOC,LOC
у,-,
Саскачевані,Саскачевані | I-LOC,LOC
.,-,
Її,-,
басейн,-,
включає,-,
більшу,-,
частину,-,
степових,-,
провінцій,-,
та,-,
західні,-,
схили,-,
Скелястих,-,LOC
гір,-,LOC
в,-,
провінції,-,
Альберта,Альберта | I-LOC,LOC
і,-,
штаті,-,
Монтана,Монтана | I-LOC,LOC
.,-,
У,-,
басейні,-,
річки,-,
живе,-,
близько,-,
трьох,-,
мільйонів,-,
чоловік,-,
.,-,
Річка,-,
тече,-,
у,-,
східному,-,
напрямі,-,
до,-,
містечка,-,
Ніпавін,Ніпавін | I-LOC,LOC
в,-,
Саскачевані,Саскачевані | I-LOC,LOC
",",-,
де,-,
завдяки,-,
греблі,-,
ім,-,
.,-,
Франсіс,Франсіс | I-PER,
Фінлей,Фінлей | I-PER,
утворює,-,
штучне,-,
водосховище,-,
—,-,
озеро,-,
Кодет,Кодет | I-LOC,LOC
.,-,
Нижче,-,
за,-,
течією,-,
в,-,
неї,-,
впадають,-,
річки,-,
Торч,-,LOC
(,-,
),-,
і,-,
Моссі,-,LOC
(,-,
),-,
.,-,
Інше,-,
штучне,-,
водосховище,-,
утворює,-,
гребля,-,
ім,-,
.,-,
Е.Б,Е.Б | I-LOC,
.,. | I-LOC,
Камбел,Камбел | I-LOC,
в,-,
Манітобі,Манітобі | I-LOC,LOC
.,-,
Річка,-,
тече,-,
через,-,
болота,-,
й,-,
озера,-,
до,-,
містечка,-,
Де,Де | I-LOC,LOC
-,- | I-LOC,LOC
Па,Па | I-LOC,LOC
",",-,
де,-,
в,-,
неї,-,
впадає,-,
річка,-,
Керрот,-,LOC
(,-,
),-,
.,. | I-LOC,
Саскачеван,Саскачеван | I-LOC,LOC
формує,-,
річкову,-,
дельту,-,
перед,-,
озером,-,
Сідар,Сідар | I-LOC,LOC
.,-,
Звідси,-,
річка,-,
тече,-,
5,-,
км,-,
до,-,
озера,-,
Вінніпег,Вінніпег | I-LOC,LOC
.,-,
Річка,-,
",",-,
як,-,
і,-,
провінція,-,
Саскачеван,Саскачеван | I-LOC,LOC
",",-,
бере,-,
свою,-,
назву,-,
з,-,
мови,-,
індіанців,-,
племені,-,
крі,-,
—,-,
"""",-,
isiskāciwani,-,
-,-,
sīpiy,-,
"""",-,
",",-,
що,-,
означає,-,
«,-,
"""",-,
швидка,-,
річка,-,
"""",-,
»,-,
.,-,
У,-,
1690,-,
році,-,
службовець,-,
Компанії,-,
Гудзонової,Гудзонової | I-LOC,LOC
затоки,-,LOC
Генрі,Генрі | I-PER,LOC
Келсі,Келсі | I-PER,LOC
першим,-,
з,-,
європейців,-,
побачив,-,
Саскачеван,Саскачеван | I-LOC,LOC
",",-,
а,-,
в,-,
наступному,-,
році,-,
пройшов,-,
вгору,-,
за,-,
течією,-,
від,-,
гирла,-,
в,-,
озері,-,
Вінніпег,Вінніпег | I-LOC,LOC
.,-,
Таким,-,
чином,-,
Келсі,-,
виявився,-,
і,-,
першим,-,
європейцем,-,
",",-,
який,-,
побував,-,
у,-,
канадських,-,
преріях,-,
.,-,
У,-,
1741,-,
році,-,
експедиція,-,
Ла,Ла | I-LOC,
-,-,
Веранді,Веранді | I-LOC,
побувала,-,
на,-,
Південному,-,LOC
Саскачевані,Саскачевані | I-LOC,LOC
",",-,
а,-,
вже,-,
в,-,
1774,-,
році,-,
Метью,Метью | I-PER,
Кокінг,Кокінг | I-PER,
і,-,
Семюель,Семюель | I-PER,
Герн,Герн | I-PER,
заснували,-,
першу,-,
факторію,-,
на,-,
озері,-,
КамберлендХью,-,LOC
Макленнан,-,LOC
«,-,
Семь,-,
рек,-,
Канады,-,
»,-,
(,-,
с,-,
примечаниями,-,
Андрея,-,
Черкасова,Черкасова | I-PER,
),-,
",",-,
Москва,Москва | I-LOC,LOC
",",-,
Прогресс,Прогресс | I-LOC,
",",-,
1990,-,
"""",-,
Ганг,-,LOC
"""",-,
(,-,
",",-,
",",-,
"""",-,
Ганга,-,LOC
"""",-,
",",-,
",",-,
як,-,
і,-,
в,-,
більшості,-,
індійських,-,
мов,-,
;,-,
",",-,
),-,
—,-,
одна,-,
з,-,
найповноводніших,найповноводніших | I-LOC,
та,-,
найдовших,-,
(,-,
2,-,
510,-,
км,-,
),-,
річок,-,
Південної,Південної | I-LOC,LOC
Азії,Азії | I-LOC,LOC
.,-,
Бере,-,
свій,-,
початок,-,
у,-,
Західних,-,LOC
Гімалаях,Гімалаях | I-LOC,LOC
із,-,
льодовика,-,
Ґанґотрі,Ґанґотрі | I-LOC,LOC
в,-,
штаті,-,
Уттаракханд,Уттаракханд | I-LOC,LOC
",",-,
тече,-,
на,-,
південний,-,
схід,-,
",",-,
перетинаючи,-,
Гангську,-,LOC
рівнину,-,LOC
на,-,
півночі,-,
Індії,Індії | I-LOC,LOC
",",-,
і,-,
впадає,-,
в,-,
Бенгальську,-,LOC
затоку,-,LOC
",",-,
формуючи,-,
разом,-,
з,-,
річками,-,
Брахмапутра,Брахмапутра | I-LOC,LOC
і,-,
Меґхна,-,LOC
дельту,-,
Гангу,-,LOC
-,-,
Брахмапутри,-,LOC
(,-,
переважно,-,
на,-,
території,-,
Бангладеш,Бангладеш | I-LOC,LOC
),-,
",",-,
частина,-,
якої,-,
вкрита,-,
лісами,-,
Сундарбанс,-,LOC
.,-,
Ґанґа,-,LOC
(,-,
&,-,
",",-,
),-,
в,-,
індуїстській,-,
міфології,-,
—,-,
небесна,-,
річка,-,
",",-,
яка,-,
спустилася,-,
на,-,
землю,-,
і,-,
стала,-,
річкою,-,
Ганг,Ганг | I-LOC,LOC
.,-,
З,-,
давніх,-,
часів,-,
уважається,-,
священною,-,
для,-,
індусів,-,
.,-,
Індуси,-,
здійснюють,-,
паломництва,-,
до,-,
неї,-,
",",-,
особливо,-,
до,-,
її,-,
витоків,-,
та,-,
міст,-,
Харідвар,Харідвар | I-LOC,LOC
",",-,
Варанасі,Варанасі | I-LOC,LOC
і,-,
Аллахабад,-,LOC
(,-,
місце,-,
впадіння,-,
Ямуни,-,LOC
),-,
.,-,
На,-,
її,-,
берегах,-,
проходять,-,
кремації,-,
",",-,
у,-,
воді,-,
розсіюється,-,
попіл,-,
померлих,-,
індусів,-,
та,-,
здійснюються,-,
обрядові,-,
купання,-,
.,-,
Річка,-,
активно,-,
використовується,-,
для,-,
зрошування,-,
.,-,
Її,-,
басейн,-,
площею,-,
понад,-,
1,-,
млн,-,
км,-,
²,-,
є,-,
одним,-,
з,-,
найгустіше,-,
заселених,-,
регіонів,-,
на,-,
Землі,-,
.,-,
Судноплавство,-,
на,-,
річці,-,
зараз,-,
дещо,-,
ускладнилося,-,
і,-,
можливе,-,
лише,-,
від,-,
гирла,-,
до,-,
міста,-,
Канпур,Канпур | I-LOC,LOC
на,-,
плоскодонних,-,
човнах,-,
.,-,
Ганг,Ганг | I-LOC,LOC
є,-,
головною,-,
водною,-,
артерією,-,
Бенгалу,-,LOC
і,-,
північно,-,
-,-,
західних,-,
штатів,-,
Індії,Індії | I-LOC,LOC
і,-,
часто,-,
розглядається,-,
як,-,
символ,-,
усієї,-,
країни,країни | I-LOC,
.,-,
Перший,-,
премєр,-,
-,-,
міністр,-,
Індії,Індії | I-PER,LOC
Джавахарлал,Джавахарлал | I-PER,
Неру,Неру | I-PER,
в,-,
своїй,-,
класичній,-,
роботі,-,
»,-,
(,-,
1946,-,
),-,
писав,-,
:,-,
Ганг,-,LOC
",",-,
у,-,
більшій,-,
мірі,-,
ніж,-,
решта,-,
річок,-,
Індії,Індії | I-LOC,LOC
",",-,
утримав,-,
її,-,
серце,-,
та,-,
приваблював,-,
до,-,
своїх,-,
берегів,-,
незліченні,-,
мільйони,-,
людей,-,
з,-,
найдавніших,-,
часів,-,
.,-,
Історія,-,
Гангу,-,LOC
",",-,
від,-,
витоків,-,
до,-,
моря,-,
",",-,
з,-,
давнини,-,
до,-,
наших,-,
днів,-,
",",-,
є,-,
історією,-,
цивілізації,-,
та,-,
культури,-,
Індії,Індії | I-LOC,LOC
",",-,
зародження,-,
та,-,
падіння,-,
імперій,-,
",",-,
великих,-,
та,-,
гордих,-,
міст,-,
",",-,
пригод,-,
людини,-,
…,-,
The,The | I-ORG,
Ganges,-,
",",-,
above,-,
all,-,
is,-,
the,-,
river,-,
of,-,
India,-,
",",-,
which,-,
has,-,
held,-,
Indias,-,
heart,-,
captive,-,
and,-,
drawn,-,
uncounted,-,
millions,-,
to,-,
her,-,
banks,-,
since,-,
the,-,
dawn,-,
of,-,
history,-,
.,-,
The,-,
story,-,
of,-,
the,-,
Ganges,-,
",",-,
from,-,
her,-,
source,-,
to,-,
the,-,
sea,-,
",",-,
from,-,
old,-,
times,-,
to,-,
new,-,
",",-,
is,-,
the,-,
story,-,
of,-,
Indias,-,
civilization,-,
and,-,
culture,-,
",",-,
of,-,
the,-,
rise,-,
and,-,
fall,-,
of,-,
empires,-,
",",-,
of,-,
great,-,
and,-,
proud,-,
cities,-,
",",-,
of,-,
adventures,-,
of,-,
man,-,
…,-,
},-,
},-,
"""",-,
Ішим,Ішим | I-ORG,LOC
"""",""" | I-ORG",
(,-,
),-,
—,-,
річка,-,
в,-,
Казахстані,Казахстані | I-LOC,LOC
і,-,
Росії,Росії | I-LOC,LOC
",",-,
ліва,-,
притока,-,
Іртиша,-,LOC
.,-,
Довжина,-,
2,-,
450,-,
км,-,
",",-,
сточище,-,
177,-,
тисяч,-,
км,-,
²,-,
.,-,
Річка,-,
бере,-,
початок,-,
у,-,
горах,-,
Ніяз,-,LOC
;,-,
у,-,
верхівях,-,
тече,-,
переважно,-,
на,-,
захід,-,
і,-,
північний,-,
захід,-,
",",-,
в,-,
основному,-,
вузькою,-,
долиною,-,
",",-,
має,-,
скелясті,-,
береги,-,
.,-,
Нижче,-,
Астани,-,LOC
долина,-,
розширюється,-,
.,-,
Після,-,
Державінська,Державінська | I-LOC,LOC
повертає,-,
на,-,
північ,-,
—,-,
північний,-,
схід,-,
.,-,
Ще,-,
нижче,-,
річка,-,
виходить,-,
на,-,
Західно,-,LOC
-,-,LOC
Сибірську,-,LOC
рівнину,-,
і,-,
тече,-,
степом,-,
в,-,
широкій,-,
заплаві,-,
із,-,
численними,-,
старицями,-,
",",-,
у,-,
низовях,-,
протікає,-,
серед,-,
боліт,-,
.,-,
Річка,-,
судноплавна,-,
вище,-,
від,-,
Петропавловська,Петропавловська | I-LOC,LOC
на,-,
270,-,
км,-,
і,-,
від,-,
Викулово,-,LOC
до,-,
гирла,-,
.,-,
Впадає,-,
в,-,
Іртиш,Іртиш | I-LOC,LOC
біля,-,
села,-,
Усть,Усть | I-LOC,LOC
-,- | I-LOC,LOC
Ішим,Ішим | I-LOC,LOC
.,-,
Живлення,-,
Ішиму,-,
снігове,-,
.,-,
Річка,-,
замерзає,-,
на,-,
початку,-,
листопада,-,
",",-,
скресає,-,
у,-,
квітні,-,
—,-,
травні,-,
.,-,
Найбільш,-,
весняне,-,
повіддя,-,
припадає,-,
на,-,
травень,-,
—,-,
червень,-,
.,-,
У,-,
низовях,-,
річка,-,
в,-,
повідді,повідді | I-LOC,
розливається,-,
до,-,
15,-,
км,-,
.,-,
Середня,-,
витрата,-,
за,-,
215,-,
км,-,
від,-,
гирла,-,
—,-,
"56,3",-,
м,-,
³,-,
/,-,
сек,-,
",",-,
найбільша,-,
686,-,
м,-,
³,-,
/,-,
сек,-,
.,-,
Основні,-,
притоки,-,
—,-,
Колутон,-,LOC
",",-,
Жабай,-,LOC
",",-,
Акканбурлук,-,LOC
(,-,
праві,-,
),-,
;,-,
Терисаккан,-,LOC
(,-,
ліва,-,
),) | I-ORG,
.,-,
На,-,
річці,-,
розташовані,-,
Вячеславське,-,LOC
й,-,
Сергєєвське,-,LOC
водосховища,-,
.,-,
Води,-,
Ішиму,-,LOC
використаються,-,
для,-,
водопостачання,-,
і,-,
зрошення,-,
.,-,
Над,-,
Ішимом,-,LOC
стоять,-,
:,-,
у,-,
Казахстані,Казахстані | I-LOC,LOC
—,-,
Астана,Астана | I-LOC,LOC
",",-,
Державінськ,Державінськ | I-LOC,LOC
",",-,
Есиль,Есиль | I-LOC,LOC
",",-,
Петропавловськ,Петропавловськ | I-LOC,LOC
;,-,
у,-,
Росії,Росії | I-LOC,LOC
—,-,
Ішим,Ішим | I-LOC,LOC
",",-,
Абатське,Абатське | I-LOC,LOC
",",-,
Викулово,-,LOC
",",-,
Каргали,Каргали | I-LOC,LOC
",",-,
Усть,Усть | I-LOC,LOC
-,- | I-LOC,LOC
Ішим,Ішим | I-LOC,LOC
.,-,
(,-,
регіон,-,
=,-,
Башкортостан,Башкортостан | I-LOC,LOC
",",-,
Челябінська,Челябінська | I-LOC,LOC
область,область | I-LOC,LOC
",",-,
Оренбурзька,Оренбурзька | I-LOC,LOC
область,область | I-LOC,LOC
",",-,
Західно,Західно | I-LOC,LOC
-,- | I-LOC,LOC
Казахстанська,Казахстанська | I-LOC,LOC
область,область | I-LOC,LOC
",",-,
Атирауська,Атирауська | I-LOC,LOC
область,-,LOC
),-,
"""",-,
Арканзас,-,LOC
"""",-,
(,-,
;,-,
"""",-,
Арканза,-,LOC
"""",-,
—,-,
вірна,-,
американська,-,
вимова,-,
),-,
—,-,
річка,-,
в,-,
США,США | I-LOC,LOC
",",-,
одна,-,
з,-,
найбільших,-,
правих,-,
приток,-,
річки,-,
Міссісіпі,Міссісіпі | I-LOC,LOC
.,-,
Довжина,-,
—,-,
2,-,
364,-,
кілометри,-,
(,-,
шоста,-,
в,-,
США,США | I-LOC,LOC
",",-,
друга,-,
по,-,
довжині,-,
притока,-,
Міссісіпі,Міссісіпі | I-LOC,LOC
після,-,
Міссурі,Міссурі | I-LOC,LOC
),-,
.,-,
Бере,-,
початок,-,
в,-,
Скелястих,-,LOC
горах,горах | I-LOC,LOC
в,-,
окрузі,-,
Лейк,Лейк | I-LOC,LOC
біля,-,
Ледвілля,Ледвілля | I-LOC,LOC
",",-,
штат,-,
Колорадо,Колорадо | I-LOC,LOC
.,-,
Впадає,-,
в,-,
Міссісіпі,Міссісіпі | I-LOC,LOC
в,-,
Наполеоні,Наполеоні | I-LOC,LOC
",",-,
штат,-,
Арканзас,Арканзас | I-LOC,LOC
.,-,
Площа,-,
басейну,-,
505,-,
тисяч,-,
км,-,
²,-,
",",-,
середня,-,
витрата,-,
води,-,
240,-,
м,-,
³,-,
/,-,
с,-,
",",-,
третя,-,
притока,-,
Міссісіпі,Міссісіпі | I-LOC,LOC
після,-,
Міссурі,Міссурі | I-LOC,LOC
і,-,
Огайо,Огайо | I-LOC,LOC
.,-,
Арканзас,Арканзас | I-LOC,LOC
тече,-,
по,-,
Великим,Великим | I-LOC,LOC
рівнинам,-,LOC
на,-,
схід,-,
і,-,
південний,-,
схід,-,
",",-,
пересікаючи,пересікаючи | I-LOC,
штати,-,
Колорадо,Колорадо | I-LOC,LOC
",",-,
Канзас,Канзас | I-LOC,LOC
",",-,
Оклахома,Оклахома | I-LOC,LOC
і,-,
Арканзас,Арканзас | I-LOC,LOC
.,-,
Перші,-,
приблизно,-,
200,-,
км,-,
у,-,
Скелястих,-,LOC
горах,-,LOC
річка,-,
носить,-,
явно,-,
виражений,-,
гірський,-,
характер,-,
.,-,
У,-,
декількох,-,
місцях,-,
річки,-,
навесні,-,
і,-,
влітку,-,
можливий,-,
рафтінг,-,
.,-,
Ця,-,
ділянка,-,
закінчується,-,
Королівською,-,LOC
ущелиною,-,LOC
",",-,
каньйоном,-,
завдовжки,-,
15,-,
кілометрів,-,
",",-,
шириною,-,
в,-,
найвужчому,-,
місці,-,
15,-,
метрів,-,
",",-,
і,-,
завглибшки,-,
близько,-,
400,-,
метрів,-,
.,-,
За,-,
ущелиною,-,
річка,-,
Арканзас,Арканзас | I-LOC,LOC
виходить,-,
на,-,
рівнину,-,
і,-,
стає,-,
значно,-,
ширшою,-,
",",-,
а,-,
трохи,-,
західніше,-,
за,-,
містом,-,
Пуебло,Пуебло | I-LOC,LOC
(,-,
штат,-,
Колорадо,Колорадо | I-LOC,LOC
),-,
виходить,-,
на,-,
Великі,-,LOC
рівнини,-,LOC
.,-,
Нижче,-,
вона,-,
є,-,
типовою,-,
рівнинною,-,
річкою,-,
",",-,
з,-,
низькими,-,
берегами,-,
",",-,
які,-,
навесні,-,
затопляють,-,
повені,-,
.,-,
Два,-,
найбільші,-,
припливи,-,
—,-,
Сімаррон,-,LOC
і,-,
Солона,-,LOC
притока,-,
.,-,
Нижче,-,
Тулси,Тулси | I-LOC,LOC
",",-,
штат,-,
Оклахома,Оклахома | I-LOC,LOC
",",-,
річка,-,
прохідна,-,
для,-,
великих,-,
суден,-,
.,-,
"""",-,
Колумбія,-,LOC
"""",-,
(,-,
),-,
—,-,
річка,-,
на,-,
північному,-,
заході,-,
Північної,Північної | I-LOC,LOC
Америки,Америки | I-LOC,LOC
.,-,
Перетинає,-,
канадську,-,
провінцію,-,
Британська,Британська | I-LOC,LOC
Колумбія,Колумбія | I-LOC,LOC
",",-,
а,-,
також,-,
американські,-,
штати,-,
Вашингтон,Вашингтон | I-LOC,LOC
і,-,
Орегон,Орегон | I-LOC,LOC
.,. | I-LOC,
Довжина,-,
—,-,
2000,-,
"""",-,
Колорадо,-,LOC
"""",-,
(,-,
",",-,
),-,
—,-,
18,-,
-,-,
та,-,
за,-,
довжиною,-,
річка,-,
США,США | I-LOC,LOC
та,-,
найдовша,-,
річка,-,
",",-,
що,-,
цілком,-,
знаходиться,-,
на,-,
території,-,
штату,-,
Техас,Техас | I-LOC,LOC
",",-,
хоча,-,
частина,-,
її,-,
басейну,-,
і,-,
заходить,-,
на,-,
територію,-,
штату,-,
Нью,Нью | I-LOC,LOC
-,- | I-LOC,LOC
Мексико,Мексико | I-LOC,LOC
.,-,
Річка,-,
має,-,
довжину,-,
1,-,
380,-,
км,-,
та,-,
тече,-,
переважно,-,
на,-,
південний,-,
схід,-,
з,-,
округу,-,
Доусон,Доусон | I-LOC,LOC
через,-,
міста,-,
Марбл,Марбл | I-LOC,LOC
-,-,LOC
Фоллз,-,LOC
",",-,
Остін,Остін | I-PER,LOC
",",-,
Бастроп,-,LOC
",",-,
Смітсвілл,Смітсвілл | I-LOC,LOC
",",-,
Ла,Ла | I-LOC,LOC
-,- | I-LOC,LOC
Ґранде,Ґранде | I-LOC,LOC
",",-,
Коламбус,Коламбус | I-LOC,LOC
",",-,
Вартон,Вартон | I-LOC,LOC
і,-,
Бей,-,LOC
-,- | I-LOC,LOC
Сіті,Сіті | I-LOC,LOC
.,-,
Біля,-,
останнього,-,
річка,-,
впадає,-,
в,-,
затоку,-,
Матаґорда,-,LOC
Мексиканської,-,LOC
затоки,-,LOC
"""",-,
Ріо,Ріо | I-ORG,LOC
-,- | I-ORG,LOC
Саладо,-,LOC
"""",-,
(,-,
),-,
",",-,
або,-,
"""",-,
Саладо,-,LOC
-,- | I-LOC,LOC
дель,дель | I-LOC,LOC
-,-,LOC
Норте,Норте | I-LOC,LOC
"""",-,
—,-,
річка,-,
на,-,
півночі,-,
Аргентини,Аргентини | I-LOC,LOC
у,-,
басейні,-,
Ла,Ла | I-LOC,LOC
-,- | I-LOC,LOC
Плати,Плати | I-LOC,LOC
.,-,
Має,-,
площу,-,
басейну,-,
124,-,
199,-,
км,-,
²,-,
.,-,
"""",-,
Сунгарі,-,LOC
"""",-,
—,-,
річка,-,
в,-,
Китаї,Китаї | I-LOC,LOC
",",-,
права,-,
притока,-,
Амуру,-,LOC
.,-,
Довжина,-,
річки,-,
—,-,
1,-,
840,-,
км,-,
",",-,
площа,-,
басейну,-,
—,-,
546,-,
тисяч,-,
км,-,
²,-,
.,-,
Витоки,-,
—,-,
на,-,
схилах,-,
вулкану,-,
Пектусан,-,LOC
.,-,
Протікає,-,
через,-,
Маньчжурську,-,LOC
низовину,-,LOC
.,-,
На,-,
берегах,-,
Сунгарі,-,LOC
розташовані,-,
великі,-,
міста,-,
