words,ents,anns
.,-,
Координати,-,
:,-,
(,-,
герб,-,
=,-,
Masterminds.ro,-,
-,-,
Stema,-,
Bucuresti,-,
-,-,
Transparenta.png,-,
),-,
(,-,
міста,-,
-,-,
побратими,-,
=,-,
Амман,Амман | I-LOC,LOC
",",-,
Анкара,Анкара | I-LOC,LOC
",",-,
Афіни,Афіни | I-LOC,LOC
",",-,
Атланта,Атланта | I-LOC,LOC
",",-,
Кишинів,Кишинів | I-LOC,LOC
",",-,
Дамаск,Дамаск | I-LOC,LOC
",",-,
Монреаль,Монреаль | I-LOC,LOC
",",-,
Нікосія,Нікосія | I-LOC,LOC
",",-,
Пекін,Пекін | I-LOC,LOC
),-,
(,-,
девіз,-,
=,-,
"""",-,
Contemnit,-,
procellas,-,
"""",-,
(,-,
Кидає,-,
виклик,-,
бурям,-,
),-,
"""",-,
Semper,-,
invicta,-,
"""",-,
(,-,
Ніколи,-,
неприборкана,-,
),-,
),-,
(,-,
зображення,-,
=,-,
St_Peter,-,
%,-,
27s_Square,-,
",",-,
_Vatican_City_,-,
-,-,
_April_2007,-,
.,-,
jpg,-,
),-,
"""",-,
Ватикан,-,LOC
"""",-,
",",-,
або,-,
"""",-,
Святійший,-,LOC
Престол,-,LOC
"""",-,
",",-,
також,-,
"""",-,
Держава,-,LOC
-,-,LOC
Місто,-,LOC
Ватикан,-,LOC
"""",-,
(,-,
",",-,
),-,
—,-,
резиденція,-,
Папи,-,
Римського,Римського | I-PER,
",",-,
територія,-,
"""",-,
Святійшого,-,LOC
Престолу,Престолу | I-PER,LOC
"""",-,
(,-,
"""",-,
Престолу,-,
Святого,-,
Петра,Петра | I-PER,
"""",-,
),-,
",",-,
центрального,-,
органу,-,
Католицької,Католицької | I-PER,
Церкви,Церкви | I-PER,
.,-,
Місто,-,
-,-,
держава,-,
.,-,
Найменша,-,
у,-,
світі,-,
незалежна,-,
держава,-,
",",-,
анклав,-,
посеред,-,
Риму,Риму | I-LOC,LOC
в,-,
Італії,Італії | I-LOC,LOC
.,-,
Ватикан,Ватикан | I-LOC,LOC
—,-,
це,-,
також,-,
адміністративна,-,
організація,-,
",",-,
яка,-,
допомагає,-,
йому,-,
управляти,-,
Церквою,-,
(,-,
вона,-,
також,-,
має,-,
назву,-,
Римська,Римська | I-PER,
Курія,Курія | I-PER,
),-,
.,-,
Для,-,
християн,-,
Ватикан,Ватикан | I-LOC,LOC
набув,-,
значення,-,
ще,-,
на,-,
зорі,-,
християнства,-,
у,-,
звязку,-,
з,-,
тим,-,
",",-,
що,-,
",",-,
згідно,-,
з,-,
переказами,-,
",",-,
саме,-,
там,-,
у,-,
67,-,
р,-,
.,-,
н,-,
.,-,
е,-,
.,-,
був,-,
розпятий,-,
св,св | I-PER,
.,-,
Петро,Петро | I-PER,
[,-,
http,-,
:,-,
/,-,
/,-,
www.vehi.net,-,
/,-,
istoriya,-,
/,-,
cerkov,-,
/,-,
pamfil,-,
/,-,
cerkovist,-,
/,-,
history.html,-,
Євсевій,Євсевій | I-PER,
Кесарійський,Кесарійський | I-PER,
",",-,
Церковна,-,
історія,-,
",",-,
Книга,-,
2,-,
",",-,
Розділ,-,
25,-,
",",-,
ряд,-,
.,-,
5,-,
-,-,
8,-,
.,-,
(,-,
зображення_підпис,-,
=,-,
Тріумфальна,-,
арка,-,
Патусай,-,
",",-,
збудована,-,
в,-,
1958,-,
році,-,
на,-,
одному,-,
з,-,
головних,-,
проспектів,-,
міста,-,
),-,
(,-,
веб,-,
-,-,
сторінка,-,
=,-,
http,-,
:,-,
/,-,
/,-,
www.tourismlaos.gov.la,-,
/,-,
vientiane,-,
-,-,
capital.htm,-,
),-,
(,-,
населення,-,
=,-,
1,-,
867,-,
582,-,
(,-,
2017,-,
-,-,
1,-,
-,-,
1,-,
),-,
див,-,
.,. | I-PER,
Gemeindeverzeichnis,-,
-,-,
2017,-,
",",-,
с,-,
.,-,
106,-,
",",-,
107,-,
у,-,
розділі,-,
"""",-,
Publikationen,-,
"""",-,
),-,
(,-,
міста,-,
-,-,
побратими,-,
=,-,
Белград,Белград | I-LOC,LOC
",",-,
Братислава,Братислава | I-LOC,LOC
",",-,
Будапешт,Будапешт | I-LOC,LOC
",",-,
Варшава,Варшава | I-LOC,LOC
",",-,
Загреб,Загреб | I-LOC,LOC
",",-,
Київ,Київ | I-LOC,LOC
",",-,
Любляна,Любляна | I-LOC,LOC
",",-,
Москва,Москва | I-LOC,LOC
",",-,
Тель,Тель | I-LOC,LOC
-,- | I-LOC,LOC
Авів,Авів | I-LOC,LOC
),-,
(,-,
регіон,-,
=,-,
Південно,Південно | I-LOC,LOC
-,- | I-LOC,LOC
Східний,Східний | I-LOC,LOC
округ,округ | I-LOC,LOC
(,-,
Ботсвана,Ботсвана | I-LOC,LOC
),-,
Південно,Південно | I-LOC,LOC
-,- | I-LOC,LOC
Східний,-,LOC
),-,
(,-,
зображення_підпис,-,
=,-,
Національний,-,
Капітолій,-,
",",-,
Музей,-,
Революції,-,
(,-,
колишній,-,
президентський,президентський | I-ORG,
палац,-,
),-,
",",-,
набережна,-,
Малекон,-,LOC
",",-,
Великий,-,
театр,-,
",",-,
маяк,-,
в,-,
Кастильо,Кастильо | I-LOC,LOC
-,- | I-LOC,LOC
дель,-,LOC
-,-,LOC
Морро,Морро | I-LOC,LOC
",",-,
Гавана,Гавана | I-LOC,LOC
-,- | I-LOC,LOC
Вєха,Вєха | I-LOC,LOC
",",-,
Гаванський,Гаванський | I-ORG,
собор,собор | I-ORG,
.,-,
),-,
(,-,
міста,-,
-,-,
побратими,-,
=,-,
Мадрид,Мадрид | I-LOC,LOC
",",-,
Толедо,Толедо | I-LOC,LOC
",",-,
Кадіс,Кадіс | I-LOC,LOC
",",-,
Хіхон,Хіхон | I-LOC,LOC
",",-,
Москва,Москва | I-LOC,LOC
",",-,
Ріо,Ріо | I-LOC,LOC
-,- | I-LOC,LOC
де,де | I-LOC,LOC
-,- | I-LOC,LOC
Жанейро,Жанейро | I-LOC,LOC
",",-,
Афіни,Афіни | I-LOC,LOC
",",-,
Ґлазґо,Ґлазґо | I-LOC,LOC
",",-,
Монреаль,Монреаль | I-LOC,LOC
",",-,
Белу,Белу | I-LOC,LOC
-,- | I-LOC,LOC
Оризонті,Оризонті | I-LOC,LOC
",",-,
Констанца,Констанца | I-LOC,LOC
",",-,
Оахака,Оахака | I-LOC,LOC
",",-,
Коауїла,Коауїла | I-LOC,LOC
",",-,
Пекін,Пекін | I-LOC,LOC
",",-,
Тіхуана,Тіхуана | I-LOC,LOC
",",-,
Сан,Сан | I-LOC,LOC
-,- | I-LOC,LOC
Паулу,Паулу | I-LOC,LOC
",",-,
Салвадор,Салвадор | I-LOC,LOC
",",-,
Тегеран,Тегеран | I-LOC,LOC
",",-,
Стамбул,Стамбул | I-LOC,LOC
",",-,
Мобіл,Мобіл | I-LOC,LOC
",",-,
Роттердам,Роттердам | I-LOC,LOC
",",-,
Куско,Куско | I-LOC,LOC
",",-,
Сінтра,Сінтра | I-LOC,LOC
",",-,
Каракас,Каракас | I-LOC,LOC
",",-,
Веракрус,Веракрус | I-LOC,LOC
),-,
"""",-,
Дакка,-,LOC
"""",-,
або,-,
"""",-,
Дака,-,LOC
"""",-,
(,-,
",",-,
),-,
—,-,
столиця,-,
і,-,
найбільше,-,
місто,-,
Бангладеш,Бангладеш | I-LOC,LOC
.,. | I-LOC,
Населення,-,
міста,-,
—,-,
14543124,-,
жителів,-,
(,-,
2006,-,
),-,
",",-,
з,-,
передмістями,-,
—,-,
12,-,
560,-,
тис,-,
.,-,
осіб,-,
(,-,
2005,-,
),-,
.,-,
У,-,
місті,-,
є,-,
міжнародний,-,
аеропорт,-,
«,-,
Хазрат,-,
Шахджалал,-,
»,-,
.,-,
Сучасна,-,
Дакка,-,LOC
є,-,
центром,-,
політичного,-,
",",-,
культурного,-,
та,-,
економічного,-,
життя,-,
в,-,
Бангладеш,Бангладеш | I-LOC,LOC
"""",-,
Дамаск,-,LOC
"""",-,
(,-,
),-,
—,-,
столиця,-,
та,-,
друге,-,
за,-,
величиною,-,
місто,-,
Сирії,Сирії | I-LOC,LOC
",",-,
одна,-,
з,-,
14,-,
провінцій,-,
.,-,
Відоме,-,
в,-,
Сирії,Сирії | I-LOC,LOC
під,-,
назвами,-,
"""",-,
Аль,Аль | I-LOC,LOC
-,- | I-LOC,LOC
Шам,Шам | I-LOC,LOC
"""",-,
(,-,
),-,
та,-,
"""",-,
Місто,-,
Жасмину,Жасмину | I-LOC,
"""",-,
(,-,
"""",-,
Джакарта,-,LOC
"""",-,
(,-,
колишня,-,
назва,-,
"""",-,
Батавія,-,LOC
"""",-,
",",-,
офіційна,-,
назва,-,
"""",-,
Спеціальний,-,LOC
столичний,столичний | I-LOC,LOC
регіон,-,LOC
Джакарта,Джакарта | I-LOC,LOC
"""",-,
",",-,
(,-,
зображення_підпис,-,
=,-,
Вид,-,
на,-,
Ділі,Ділі | I-LOC,LOC
та,-,
сусідній,-,
острів,-,LOC
Атауро,Атауро | I-LOC,LOC
на,-,
задньому,-,
фоні,-,
),-,
"""",-,
Доха,-,LOC
"""",-,
(,-,
",",-,
"""",-,
Ад,Ад | I-LOC,LOC
-,- | I-LOC,LOC
Доха,Доха | I-LOC,LOC
"""",-,
),-,
—,-,
місто,-,
на,-,
узбережжі,-,
Перської,-,LOC
затоки,-,LOC
",",-,
найбільше,-,
місто,-,
і,-,
столиця,-,
арабського,арабського | I-LOC,
емірату,-,LOC
Катар,Катар | I-LOC,LOC
.,-,
У,-,
2006,-,
в,-,
місті,-,
проходили,-,
Азійські,-,
Ігри,Ігри | I-ORG,
.,-,
Населення,-,
587,-,
55,-,
осіб,-,
(,-,
перепис,-,
2015,-,
),-,
(,-,
зображення_підпис,-,
=,-,
Вид,-,
на,-,
головні,-,
новобудови,-,
сучасного,-,
Душанбе,Душанбе | I-LOC,LOC
—,-,
Палац,-,
Нації,-,
(,-,
Президентський,-,
),-,
",",-,
Парк,Парк | I-PER,
Рудакі,-,
з,-,
памятником,-,
поетові,-,
),-,
(,-,
поділ,-,
міста,-,
=,-,
4,-,
райони,-,
:,-,
Шохмансур,-,
",",-,
І.Сомоні,-,
",",-,
Фірдавсі,-,
",",-,
Сіно,Сіно | I-LOC,
.,-,
),-,
"""",-,
Душанбе,-,LOC
"""",-,
(,-,
",",-,
;,-,
до,-,
1929,-,
року,-,
—,-,
"""",-,
Дюшамбе,-,LOC
"""",-,
",",-,
1929,-,
—,-,
1961,-,
роки,-,
—,-,
"""",-,
Сталінабад,-,LOC
"""",-,
),-,
—,-,
столиця,-,
Таджикистану,Таджикистану | I-LOC,LOC
",",-,
найбільше,-,
місто,-,
",",-,
політичний,-,
",",-,
культурний,-,
й,-,
економічний,-,
центр,-,
країни,-,
.,. | I-LOC,
Розташоване,-,
в,-,
Гісарській,-,
долині,-,
на,-,
берегах,-,
річки,-,
Варзоб,-,LOC
(,-,
Душанбинка,-,LOC
),-,
.,-,
Місто,-,
виникло,-,
як,-,
невелике,-,
поселення,-,
-,-,
кишлак,-,
",",-,
що,-,
у,-,
XIX,-,
—,-,
на,-,
початку,-,
ХХ,-,
століття,-,
був,-,
одним,-,
із,-,
жвавих,-,
торговельних,-,
пунктів,-,
східної,-,
частини,-,
Бухарського,Бухарського | I-LOC,LOC
емірату,емірату | I-LOC,LOC
.,-,
Із,-,
утвердженням,-,
радянської,-,
державності,-,
таджиків,таджиків | I-LOC,
",",-,
Душанбе,Душанбе | I-LOC,LOC
став,-,
столицею,-,
новоутвореної,новоутвореної | I-LOC,
республіки,республіки | I-LOC,
",",-,
активно,-,
розбудовувався,-,
