words,ents,anns
АР,АР | I-LOC,LOC
(,-,
ексклав,ексклав | I-LOC,
Азербайджану,Азербайджану | I-LOC,LOC
),-,
на,-,
півдні,-,
і,-,
Туреччиною,Туреччиною | I-LOC,LOC
на,-,
заході,-,
.,-,
Вірменія,Вірменія | I-LOC,LOC
не,-,
має,-,
виходу,-,
до,-,
моря,-,
.,-,
Площа,-,
країни,-,
становить,-,
29,-,
800,-,
км,-,
²,-,
(,-,
без,-,
врахування,-,
невизнаної,-,
Нагірно,Нагірно | I-LOC,LOC
-,- | I-LOC,LOC
Карабаської,Карабаської | I-LOC,LOC
Республіки,Республіки | I-LOC,LOC
",",-,
контрольованої,-,
з,-,
Вірменії,Вірменії | I-LOC,LOC
),-,
.,-,
Столицею,Столицею | I-LOC,
Вірменії,Вірменії | I-LOC,LOC
є,-,
місто,-,
Єреван,Єреван | I-LOC,LOC
.,. | I-LOC,
Вірменія,Вірменія | I-LOC,LOC
—,-,
гірська,-,
країна,-,
",",-,
займає,-,
Вірменське,Вірменське | I-LOC,LOC
нагіря,-,
",",-,
обрамлене,-,
хребтом,-,
Малого,Малого | I-LOC,LOC
Кавказу,Кавказу | I-LOC,LOC
",",-,
висотою,-,
3,-,
-,-,
4,-,
тисячі,-,
метрів,-,
.,-,
На,-,
південному,-,
заході,-,
країни,-,
розташована,-,
міжгірська,-,
Араратська,-,LOC
рівнина,-,LOC
.,-,
За,-,
політичною,-,
системою,-,
—,-,
демократія,-,
",",-,
що,-,
розвивається,-,
.,-,
Розвинені,-,
видобуток,-,
міді,-,
",",-,
молібдену,-,
",",-,
вирощування,-,
зернових,-,
",",-,
бавовни,-,
",",-,
виробництво,-,
шовку,-,
.,-,
</S>,-,
<S>,-,
Колишня,-,
республіка,республіка | I-LOC,
Радянського,Радянського | I-LOC,LOC
союзу,союзу | I-LOC,LOC
",",-,
Вірменія,Вірменія | I-LOC,LOC
є,-,
унітарною,-,
",",-,
багатопартійною,-,
",",-,
демократичною,-,
національною,-,
державою,-,
зі,-,
старовинною,-,
та,-,
історичною,-,
культурною,-,
спадщиною,-,
.,-,
Королівство,Королівство | I-LOC,LOC
Вірменія,Вірменія | I-LOC,LOC
стало,-,
першою,-,
державою,-,
",",-,
яка,-,
прийняла,-,
християнство,-,
як,-,
державну,-,
релігію,-,
на,-,
початку,-,
4,-,
століття,-,
(,-,
за,-,
традиційною,-,
датою,-,
301,-,
рік,-,
),-,
.,-,
</S>,-,
<S>,-,
"""",-,
Гаяна,-,LOC
"""",-,
",",-,
також,-,
"""",-,
Гайана,-,LOC
"""",-,
Кооперативна,-,LOC
Республіка,Республіка | I-LOC,LOC
Гайана,Гайана | I-LOC,LOC
—,-,
офіційна,-,
назва,-,
країни,-,
:,-,
укази,-,
Президента,-,
України,-,LOC
№,-,
608,-,
/,-,
2010,-,
",",-,
93,-,
/,-,
2009,-,
",",-,
514,-,
/,-,
2006,-,
",",-,
344,-,
/,-,
2006,-,
",",-,
закон,-,
Верховної,-,
Ради,-,
№,-,
2915,-,
-,-,
IV,-,
",",-,
постанова,-,
Кабміну,Кабміну | I-ORG,
від,-,
12.07.2005,-,
№,-,
566,566 | I-LOC,
.,. | I-LOC,
Гайана,Гайана | I-LOC,LOC
на,-,
сайті,-,
МЗС,МЗС | I-ORG,
України,України | I-ORG,LOC
:,-,
",",-,
.,-,
—,-,
МЗС,МЗС | I-PER,
УкраїниВеликий,УкраїниВеликий | I-PER,
зведений,-,
орфографічний,-,
словник,-,
сучасної,-,
української,-,
лексики,-,
:,-,
253000,-,
слів,-,
/,-,
уклад,-,
.,-,
В,В | I-PER,
.,. | I-PER,
Т,Т | I-PER,
.,. | I-PER,
Бусел,Бусел | I-PER,
та,-,
ін,-,
.,-,
—,-,
К,К | I-PER,
.,-,
:,-,
Перун,-,
",",-,
2008,-,
.,-,
—,-,
С,С | I-PER,
.,. | I-PER,
886,-,
.,-,
Український,-,
орфографічний,-,
словник,-,
/,-,
Серія,-,
«,-,
Словники,-,
України,-,LOC
»,-,
.,-,
Ухвалено,-,
вченими,-,
радами,-,
Інституту,-,
мовознавства,мовознавства | I-ORG,
та,-,
Українського,-,
мовно,-,
-,-,
інформаціного,-,
фонду,-,
НАН,НАН | I-ORG,
України,України | I-ORG,LOC
.,-,
Уклали,-,
:,-,
М,М | I-PER,
.,. | I-PER,
Пещак,Пещак | I-PER,
",",-,
В,В | I-PER,
.,. | I-PER,
Русанівський,Русанівський | I-PER,
",",-,
В,В | I-PER,
.,. | I-PER,
Чумак,Чумак | I-PER,
",",-,
І,І | I-PER,
.,. | I-PER,
Шевченко,Шевченко | I-PER,
",",-,
Л,Л | I-PER,
.,. | I-PER,
Шевченко,Шевченко | I-PER,
",",-,
Г,Г | I-PER,
.,. | I-PER,
Ярун,Ярун | I-PER,
.,-,
За,-,
ред,-,
.,. | I-PER,
Л,Л | I-PER,
.,. | I-PER,
Полюги,Полюги | I-PER,
",",-,
вид,-,
.,-,
3,-,
-,-,
є,-,
.,-,
-,-,
К,К | I-PER,
.,-,
",",-,
2002,-,
.,-,
—,-,
С,С | I-PER,
.,. | I-PER,
155,-,
.,-,
",",-,
"""",-,
Ґайана,-,LOC
"""",-,
",",-,
"""",-,
Ґаяна,-,LOC
"""",-,
(,-,
),-,
",",-,
"""",-,
Кооперативна,-,
Республіка,-,
Гаяна,Гаяна | I-LOC,LOC
"""",-,
(,-,
</S>,-,
<S>,-,
Файл,-,
:,-,
1917352,-,
-,-,
mangroves,-,
-,-,
The,-,
Gambia.jpg,-,
|,-,
thumb,-,
|,-,
Мангрові,-,
ліси,-,
вздовж,-,
Гамбія,Гамбія | I-LOC,LOC
(,-,
річка,-,
),-,
|,-,
річки,-,LOC
Гамбії,Гамбії | I-LOC,LOC
</S>,-,
<S>,-,
"""",-,
Ґвінея,-,LOC
-,-,LOC
Бісау,-,LOC
",",-,
Республіка,-,LOC
Ґвінея,-,LOC
-,-,
Бісау,-,LOC
"""",-,
—,-,
держава,-,
на,-,
заході,-,
Африки,Африки | I-LOC,LOC
",",-,
що,-,
межує,-,
на,-,
півночі,-,
із,-,
Сенегалом,Сенегалом | I-LOC,LOC
",",-,
на,-,
сході,-,
і,-,
південному,-,
-,-,
сході,-,
з,-,
Гвінеєю,Гвінеєю | I-LOC,LOC
",",-,
на,-,
південному,-,
-,-,
заході,-,
її,-,
омиває,-,
Атлантичний,-,LOC
океан,-,LOC
</S>,-,
<S>,-,
"""",-,
Данія,-,LOC
"""",-,
(,-,
),-,
",",-,
офіційна,-,
назва,-,
"""",-,
Королівство,-,LOC
Данія,-,LOC
"""",-,
(,-,
),-,
—,-,
скандинавська,скандинавська | I-LOC,
країна,-,
у,-,
Північній,Північній | I-LOC,LOC
Європі,Європі | I-LOC,LOC
.,-,
Розташована,-,
на,-,
південний,-,
захід,-,
від,-,
Швеції,Швеції | I-LOC,LOC
",",-,
і,-,
на,-,
південь,-,
від,-,
Норвегії,Норвегії | I-LOC,LOC
",",-,
має,-,
сухопутний,-,
кордон,-,
із,-,
Німеччиною,Німеччиною | I-LOC,LOC
.,-,
Королівство,Королівство | I-LOC,LOC
Данія,Данія | I-LOC,LOC
є,-,
суверенною,суверенною | I-LOC,
державою,-,
",",-,
до,-,
складу,-,
якої,-,
входить,-,
дві,-,
автономні,-,
установчі,-,
землі,-,
в,-,
північній,-,
частині,-,
Атлантичного,-,LOC
океану,-,LOC
:,-,
Фарерські,Фарерські | I-LOC,LOC
острови,острови | I-LOC,LOC
й,-,
найбільший,-,
у,-,
світі,-,
острів,-,
Ґренландія,Ґренландія | I-LOC,LOC
.,. | I-LOC,
Данія,Данія | I-LOC,LOC
займає,-,
територію,-,
площею,-,
43,-,
94,-,
км,-,
²,-,
",",-,
–,-,
Geography,-,
–,-,
Index,-,
Mundi,-,
.,-,
Retrieved,-,
5,-,
June,-,
2012,-,
.,-,
і,-,
має,-,
населення,-,
5,-,
668,-,
743,-,
чол,-,
.,-,
(,-,
квітень,-,
2015,-,
),-,
.,-,
Країна,Країна | I-ORG,
складається,-,
з,-,
півострова,-,
Ютландія,Ютландія | I-LOC,LOC
",",-,
архіпелагу,-,
",",-,
і,-,
443,-,
островів,-,
",",-,
70,-,
з,-,
яких,-,
є,-,
населеними,-,
.,-,
Острови,-,
характеризуються,-,
плоскими,-,
орними,-,
землями,-,
і,-,
піщаними,-,
берегами,-,
",",-,
низькою,-,
висотою,-,
і,-,
помірним,-,
кліматом,-,
.,-,
</S>,-,
<S>,-,
Обєднане,Обєднане | I-LOC,LOC
Королівство,Королівство | I-LOC,LOC
Данії,Данії | I-LOC,LOC
утворилось,-,
у,-,
10,-,
-,-,
му,-,
столітті,-,
",",-,
як,-,
мореплавська,-,
нація,-,
у,-,
боротьбі,-,
за,-,
контроль,-,
над,-,
Балтійським,-,
морем,-,
.,-,
Данське,-,
панування,-,
над,-,
Кальмарською,-,
унією,-,
",",-,
утвореною,-,
у,-,
1397,-,
р,-,
.,-,
з,-,
Норвегією,Норвегією | I-LOC,LOC
та,-,
Швецією,Швецією | I-LOC,LOC
",",-,
закінчилось,-,
відділенням,-,
Швеції,Швеції | I-LOC,LOC
у,-,
1523,-,
році,-,
.,-,
Однак,-,
",",-,
Данія,Данія | I-LOC,LOC
залишила,-,
союз,-,
з,-,
Норвегією,Норвегією | I-LOC,LOC
",",-,
який,-,
тривав,-,
до,-,
1814,-,
року,-,
.,-,
Данія,Данія | I-LOC,LOC
успадкувала,-,
експансивну,-,
колоніальну,-,
імперію,-,
від,-,
союзу,-,
",",-,
завдяки,-,
чому,-,
має,-,
контроль,-,
над,-,
Фарерськими,-,LOC
островами,-,LOC
та,-,
Ґренландією,-,LOC
.,-,
Починаючи,-,
з,-,
17,-,
-,-,
го,-,
століття,-,
",",-,
відбувалось,-,
кілька,-,
цесій,-,
території,-,
;,-,
вони,-,
завершились,-,
у,-,
1830,-,
-,-,
х,-,
сплеском,-,
націоналістичних,-,
рухів,-,
",",-,
котрі,-,
було,-,
придушено,-,
у,-,
1864,-,
році,-,
",",-,
під,-,
час,-,
другої,-,
війни,-,
за,-,
Шлезвіг,Шлезвіг | I-LOC,LOC
.,. | I-LOC,
Данія,Данія | I-LOC,LOC
дотримувалась,-,
нейтралітету,-,
у,-,
Першій,-,
світовій,-,
війні,-,
.,-,
У,-,
квітні,-,
1940,-,
-,-,
го,-,
",",-,
під,-,
час,-,
німецького,-,
вторгнення,-,
",",-,
країна,-,
практично,-,
не,-,
чинила,-,
військового,-,
опору,-,
",",-,
у,-,
той,-,
час,-,
як,-,
данський,-,
рух,-,
опору,-,
був,-,
активний,-,
з,-,
1943,-,
року,-,
",",-,
до,-,
капітуляції,-,
Німеччини,Німеччини | I-LOC,LOC
у,-,
травні,-,
1945,-,
року,-,
.,-,
Бувши,-,
індустріалізованим,-,
експортером,-,
сільськогосподарської,-,
продукції,-,
у,-,
другій,-,
половині,-,
19,-,
-,-,
го,-,
століття,-,
",",-,
Данія,Данія | I-LOC,LOC
здійснила,-,
низку,-,
соціальних,-,
та,-,
трудових,-,
реформ,-,
на,-,
початку,-,
20,-,
-,-,
