words,ents,anns
Північного,Північного | I-LOC,
Атлантичного,-,LOC
океану,-,LOC
",",-,
обмежений,-,
течіями,-,
:,-,
на,-,
заході,-,
—,-,
Гольфстрімом,Гольфстрімом | I-LOC,LOC
",",-,
на,-,
півночі,-,
—,-,
Північноатлантичною,Північноатлантичною | I-LOC,LOC
",",-,
на,-,
сході,-,
—,-,
Канарською,Канарською | I-LOC,LOC
",",-,
на,-,
півдні,-,
—,-,
Північною,Північною | I-LOC,LOC
пасатною,-,
"""",-,
Адріатичне,-,LOC
море,-,LOC
"""",-,
(,-,
",",-,
",",-,
",",-,
",",-,
",",-,
",",-,
",",-,
),-,
—,-,
напівзамкнуте,-,
море,-,
",",-,
висунута,-,
найдалі,-,
на,-,
північ,-,
частина,-,
Середземного,-,LOC
моря,-,LOC
",",-,
між,-,
Апеннінським,-,LOC
і,-,
Балканським,-,LOC
півсостровами,-,LOC
/,-,
"""",-,
Альборан,-,LOC
"""",-,
—,-,
напівзамкнене,-,
море,-,
в,-,
південно,-,
-,-,
західній,-,
частині,-,
Середземного,-,LOC
моря,-,LOC
.,-,
Знаходиться,-,
безпосередньо,-,
перед,-,
Гібралтарською,-,LOC
протокою,-,LOC
",",-,
має,-,
в,-,
довжину,-,
близько,-,
400,-,
км,-,
",",-,
в,-,
ширину,-,
200,-,
км,-,
",",-,
характерна,-,
глибинами,-,
від,-,
1,-,
.,-,
—,-,
1,-,
500,-,
м,-,
",",-,
максимум,-,
до,-,
2,-,
407,-,
м,-,
в,-,
найсхіднішій,-,
частині,-,
.,-,
Площа,-,
53,-,
тисячі,-,
км,-,
²,-,
.,-,
Температура,-,
води,-,
на,-,
поверхні,-,
взимку,-,
близько,-,
15,-,
°,-,
C,-,
",",-,
влітку,-,
близько,-,
24,-,
°,-,
C,-,
.,-,
Солоність,-,
до,-,
"36,75",-,
‰,-,
.,-,
Припливи,-,
подобові,-,
",",-,
до,-,
"0,8",-,
м,-,
.,-,
Море,-,
названо,-,
за,-,
назвою,-,
острова,-,
(,-,
5,-,
км,-,
²,-,
),-,
Альборан,-,LOC
",",-,
що,-,
знаходиться,-,
в,-,
цьому,-,
морі,-,
;,-,
його,-,
назва,-,
від,-,
thumb,-,
|,-,
300пкс,-,
|,-,
right,-,
|,-,
позначені,-,
межі,-,
Іонічного,-,LOC
моря,-,LOC
;,-,
жовта,-,
лінія,-,
:,-,
традиційні,-,
межі,-,
",",-,
помаранчева,-,
:,-,
межа,-,
згідно,-,
з,-,
Італійською,-,
метеорологічною,-,
службою,-,
Meteomar,-,
",",-,
червона,-,
:,-,
межа,-,
згідно,-,
Міжнародної,-,
гідрографічної,-,
організацією,-,
Файл:Aegean,-,
Sea,-,
by,-,
Piri,-,
Reis.jpg,-,
|,-,
thumb,-,
|,-,
260px,-,
|,-,
Карта,-,
Егейського,-,LOC
моря,-,LOC
турецького,-,
картографа,-,
Пірі,Пірі | I-PER,
Рейса,Рейса | I-PER,
",",-,
1528,-,
рік,-,
Файл:Sunset,-,
at,-,
Aegean,-,
Sea,-,
",",-,
İzmir,-,
5,-,
.,-,
jpg,-,
|,-,
thumb,-,
|,-,
260px,-,
|,-,
Захід,-,
сонця,-,
над,-,
Егейським,-,LOC
морем,-,LOC
(,-,
Ізмір,Ізмір | I-LOC,LOC
),-,
Файл:Samiopoula,-,
island.jpg,-,
|,-,
thumb,-,
|,-,
260px,-,
|,-,
Вид,-,
на,-,
острів,-,
Саміопула,Саміопула | I-LOC,LOC
з,-,
острова,-,
Самос,Самос | I-LOC,LOC
(,-,
Підпис,-,
=,-,
Захід,-,
сонця,-,
на,-,
Чорному,-,LOC
морі,-,LOC
в,-,
Криму,Криму | I-LOC,LOC
(,-,
Бухта,-,
Ласпі,-,LOC
),-,
),-,
"""",-,
Арафурське,-,LOC
море,-,LOC
"""",-,
(,-,
),-,
—,-,
окраїнне,-,
море,-,
на,-,
сході,-,
Індійського,-,LOC
океану,-,LOC
",",-,
між,-,
Австралією,Австралією | I-LOC,LOC
",",-,
островами,-,
Танімбар,Танімбар | I-LOC,LOC
",",-,
Кай,Кай | I-LOC,LOC
і,-,
Новою,Новою | I-LOC,LOC
Гвінеєю,Гвінеєю | I-LOC,LOC
.,-,
На,-,
сході,-,
сполучається,-,
Торесовою,-,LOC
протокою,-,LOC
з,-,
Кораловим,-,LOC
морем,-,LOC
",",-,
на,-,
заході,-,
межує,-,
з,-,
Тиморським,Тиморським | I-LOC,LOC
",",-,
на,-,
північному,-,
заході,-,
з,-,
морем,-,
Серам,Серам | I-LOC,LOC
і,-,
Банда,-,LOC
.,-,
За,-,
однією,-,
з,-,
версій,-,
",",-,
топонім,-,
виник,-,
з,-,
"""",-,
Halefuru,-,
"""",-,
",",-,
що,-,
мовою,-,
галела,-,
означає,-,
«,-,
незаліснений,-,
край,-,
»,-,
.,-,
За,-,
іншою,-,
версією,-,
",",-,
назва,-,
походить,-,
з,-,
малайського,-,
—,-,
«,-,
дикі,-,
",",-,
язичники,-,
»,-,
або,-,
—,-,
«,-,
лісові,-,
люди,-,
»,-,
.,-,
У,-,
всіх,-,
цих,-,
випадках,-,
назва,-,
спершу,-,
була,-,
найменуванням,-,
населення,-,
або,-,
місцевості,-,
",",-,
а,-,
потім,-,
була,-,
застосована,-,
для,-,
означення,-,
моря,-,
.,-,
Площа,-,
1,-,
17,-,
тисяч,-,
км,-,
²,-,
(,-,
1,-,
290,-,
х,-,
560,-,
км,-,
),-,
.,-,
Найбільш,-,
мілке,-,
і,-,
тепле,-,
серед,-,
морів,-,
Індійського,-,LOC
океану,-,LOC
.,-,
Геологічна,-,
формація,формація | I-ORG,
Сахул,-,LOC
(,-,
),-,
.,-,
Глибини,-,
пересічно,-,
50,-,
—,-,
80,-,
м,-,
",",-,
до,-,
3,-,
680,-,
м,-,
на,-,
заході,-,
(,-,
западина,-,
Ару,-,LOC
),-,
.,-,
Середня,-,
температура,-,
води,-,
від,-,
25,-,
до,-,
28,-,
°,-,
C,-,
.,-,
Солоність,-,
34,-,
—,-,
35,-,
‰,-,
.,-,
Припливи,-,
нерправильні,-,
",",-,
подобові,-,
(,-,
"2,5",-,
—,-,
"7,6",-,
м,-,
),-,
.,-,
В,-,
водах,-,
моря,-,
почасти,-,
зароджуються,-,
тропічні,-,
тайфуни,-,
.,-,
Узбережжя,-,
малозаселене,-,
.,-,
Найбільша,-,
затока,-,
—,-,
Карпентарія,-,LOC
.,-,
Великих,-,
гаваней,-,
немає,-,
",",-,
порт,-,
Уейпа,Уейпа | I-LOC,LOC
(,-,
Файл:Вид,-,
с,-,
маяка,-,
на,-,
Белое,-,LOC
и,-,
Баренцево,-,LOC
море.jpg,-,LOC
|,-,
міні,-,
|,-,
праворуч,-,
|,-,
280пкс,-,
|,-,
Вид,-,
з,-,
маяку,-,
на,-,
Святий,-,LOC
Ніс,Ніс | I-PER,LOC
|,-,
Святому,-,LOC
Носі,-,LOC
.,-,
Баренцеве,-,LOC
море,-,LOC
ліворуч,-,
",",-,
Біле,-,LOC
море,-,LOC
праворуч,-,
.,-,
",",-,
",",-,
",",-,
також,-,
відомо,-,
в,-,
США,США | I-LOC,LOC
як,-,
),-,
—,-,
неофіційна,-,
назва,-,
частини,-,
Північного,Північного | I-LOC,LOC
Льодовитого,Льодовитого | I-LOC,LOC
океану,-,LOC
",",-,
розташованого,-,
між,-,
мисом,-,
Нордоструннінген,Нордоструннінген | I-LOC,LOC
і,-,
Землею,-,LOC
Пірі,Пірі | I-PER,LOC
.,-,
Водний,-,
простір,-,
північніше,-,
і,-,
східніше,-,
моря,-,LOC
Ванделя,-,LOC
цілорічно,-,
покрито,-,
льодом,-,
.,-,
На,-,
захід,-,
від,-,
моря,-,
розташовуються,-,
дві,-,
найбільші,-,
затоки,-,
Гренландії,-,LOC
:,-,
фіорди,-,
Індепенденс,-,LOC
і,-,
Данмарк,Данмарк | I-LOC,LOC
у,-,
Великому,-,
данському,-,
енциклопедичному,-,
словнику,-,
.,-,
На,-,
північний,-,
захід,-,
розташоване,-,
море,-,LOC
Лінкольна,Лінкольна | I-PER,LOC
.,-,
Обмежено,-,
82,-,
°,-,
північної,-,
широти,-,
і,-,
21,-,
°,-,
західної,-,
довготи,-,
",",-,
на,-,
заході,-,
",",-,
обмежено,-,
мисом,-,
Морріс,Морріс | I-PER,LOC
-,-,LOC
Джесуп,Джесуп | I-PER,LOC
.,-,
На,-,
півдні,-,
",",-,
воно,-,
тягнеться,-,
до,-,
Нореструннінген,-,LOC
.,-,
Море,-,LOC
Ванделя,-,LOC
зєднується,-,
з,-,
Гренландським,Гренландським | I-LOC,LOC
морем,-,
на,-,
півдні,-,
протокою,-,LOC
Фрама,Фрама | I-LOC,LOC
.,-,
Свою,-,
назву,-,
море,-,LOC
Ванделя,Ванделя | I-LOC,LOC
отримало,-,
на,-,
честь,-,
данського,данського | I-PER,
полярника,-,
і,-,
гідрографа,гідрографа | I-LOC,
",",-,
віце,-,
-,-,
адмірала,-,
Карла,Карла | I-PER,
Фредеріка,Фредеріка | I-PER,
Ванделя,Ванделя | I-PER,
(,-,
1843,-,
—,-,
1930,-,
),-,
",",-,
який,-,
у,-,
1906,-,
—,-,
1908,-,
роках,-,
у,-,
складі,-,
полярної,-,
експедиції,-,
обстежив,-,
прибережні,-,
води,-,
Гренландії,-,LOC
.,-,
За,-,
даними,-,
на,-,
2008,-,
рік,-,
море,-,
було,-,
дуже,-,
слабко,-,
досліджено,-,
через,-,
кригу,-,
що,-,
практично,-,
постійно,-,
його,-,
вкриває,-,
",",-,
а,-,
також,-,
важкодоступність,-,
регіону,-,
в,-,
цілому,-,
.,-,
У,-,
1983,-,
році,-,
спеціальною,-,
експедицією,-,
проводилося,-,
дослідження,-,
фауни,-,
моря,-,LOC
Ванделя,-,LOC
біля,-,
берегів,-,
Гренландії,Гренландії | I-LOC,LOC
.,-,
У,-,
1998,-,
році,-,
за,-,
фінансової,-,
підтримки,-,
Національного,-,
агентства,-,
видової,-,
і,-,
картографічної,-,
інформації,-,
США,США | I-LOC,LOC
була,-,
проведена,-,
аерозйомка,-,
морів,-,LOC
Лінкольна,-,LOC
і,-,
Ванделя,Ванделя | I-PER,LOC
.,-,
.,-,
Також,-,
з,-,
1956,-,
року,-,
на,-,
узбережжі,-,
розташовується,-,
військова,-,
та,-,
науково,-,
-,-,
дослідна,-,
станція,-,
Норд,Норд | I-LOC,LOC
),-,
—,-,
окраїнне,-,
море,-,
Північного,-,LOC
Льодовитого,-,LOC
океану,-,LOC
.,-,
Омиває,-,
північне,-,
узбережжя,-,
Нунавута,Нунавута | I-LOC,LOC
та,-,
Ґренландії,Ґренландії | I-LOC,LOC
.,-,
До,-,
моря,-,
прилягає,-,
східна,-,
частина,-,
Канадського,-,LOC
Арктичного,-,LOC
архіпелагу,архіпелагу | I-LOC,LOC
.,-,
Межі,-,
моря,-,LOC
Лінкольна,Лінкольна | I-PER,LOC
проходять,-,
від,-,
мису,-,LOC
Колумбії,Колумбії | I-LOC,LOC
до,-,
мису,-,
Морріс,Морріс | I-PER,LOC
-,-,LOC
Джесоп,-,LOC
Ґренландії,Ґренландії | I-LOC,LOC
великим,-,
півколом,-,
.,-,
На,-,
схід,-,
від,-,
моря,-,LOC
Лінкольна,Лінкольна | I-PER,LOC
(,-,
на,-,
схід,-,
від,-,
мису,-,LOC
Морріс,Морріс | I-PER,LOC
-,-,LOC
Джесоп,-,LOC
),-,
розташовується,-,
море,-,LOC
Ванделя,-,LOC
.,-,
Вода,-,
і,-,
лід,-,
з,-,
моря,-,LOC
Лінкольна,-,LOC
прямують,-,
протокою,-,LOC
Робесона,-,LOC
",",-,
північною,-,
частиною,-,
протоки,-,LOC
Нерса,-,LOC
",",-,
більшу,-,
частину,-,
часу,-,
.,-,
Море,-,
було,-,
названо,-,
полярним,-,
дослідником,-,
Адольфусом,-,
Вашингтоном,-,
Грилі,-,
",",-,
під,-,
час,-,
його,-,
експедиції,-,
1881,-,
-,-,
1884,-,
років,-,
.,-,
Імя,-,
Лінкольна,Лінкольна | I-PER,
повязано,повязано | I-PER,
не,-,
з,-,
16,-,
-,-,
м,-,
президентом,-,
США,США | I-PER,
Авраамом,Авраамом | I-PER,
Лінкольном,Лінкольном | I-PER,
",",-,
а,-,
з,-,
його,-,
сином,-,
американським,-,
воєнним,-,
міністром,-,
Роберта,Роберта | I-PER,
Тода,Тода | I-PER,
Лінкольна,Лінкольна | I-PER,
.,-,
Існує,-,
територіальна,-,
суперечка,-,
між,-,
Канадою,Канадою | I-LOC,LOC
і,-,
Данією,Данією | I-LOC,LOC
стосовно,-,
акваторії,-,
площею,-,
200,-,
км,-,
²,-,
",",-,
що,-,
виникла,-,
через,-,
не,-,
визначеність,-,
статусу,-,
острова,-,
Бімонт,Бімонт | I-LOC,LOC
(,-,
"""",-,
Море,-,LOC
Амундсена,-,LOC
"""",-,
(,-,
),-,
—,-,
окраїнне,-,
море,-,
",",-,
частина,-,
тихоокеанського,-,
сектору,-,
Південного,-,LOC
океану,-,LOC
",",-,
біля,-,
узбережжя,-,
Західної,-,LOC
Антарктиди,-,LOC
(,-,
Земля,-,LOC
Мері,Мері | I-PER,LOC
Берд,Берд | I-PER,LOC
),-,
.,-,
Межує,-,
з,-,
морями,-,LOC
Беллінсгаузена,Беллінсгаузена | I-LOC,LOC
на,-,
сході,-,
та,-,
Росса,Росса | I-LOC,LOC
на,-,
заході,-,
.,-,
Між,-,
меридіанами,-,
100,-,
°,-,
(,-,
півострів,-,LOC
Тьорстон,-,LOC
"""",-,
Море,-,LOC
Сомова,Сомова | I-PER,LOC
"""",-,
—,-,
окраїнне,-,
море,-,
Південного,-,LOC
океану,-,LOC
",",-,
біля,-,
берегів,-,
Землі,-,LOC
Вікторії,Вікторії | I-LOC,LOC
(,-,
Східна,Східна | I-LOC,LOC
Антарктида,Антарктида | I-LOC,LOC
),-,
.,-,
Знаходиться,-,
між,-,
150,-,
°,-,
і,-,
170,-,
°,-,
східної,-,
довготи,-,
",",-,
між,-,
морями,-,LOC
Росса,Росса | I-LOC,LOC
і,-,
Дюрвіля,-,LOC
.,-,
Координати,-,
центральної,-,
частини,-,
моря,-,
:,-,
.,-,
Східна,Східна | I-LOC,
частина,-,
моря,-,
загалом,-,
знаходиться,-,
в,-,
межах,-,
континентального,-,
шельфу,-,
",",-,
західна,-,
частина,-,
має,-,
глибини,-,
до,-,
3,-,
.,-,
м,-,
.,-,
Площа,-,
—,-,
"1,15",-,
млн,-,
км,-,
²,-,
.,-,
"""",-,
Каспійське,-,LOC
море,-,LOC
"""",-,
(,-,
"""",-,
рідше,-,
:,-,
"""",-,
"""",-,
Каспій,-,LOC
"""",-,
—,-,
від,-,
назви,-,
стародавніх,-,
племен,-,
«,-,
каспіїв,каспіїв | I-ORG,
»,» | I-ORG,
",",-,
що,-,
мешкали,-,
в,-,
східній,-,
частині,-,
Кавказу,Кавказу | I-LOC,LOC
;,-,
",",-,
(,-,
caption_bathymetry,-,
=,-,
Зменшення,-,
рівня,-,
Аральського,-,LOC
моря,-,LOC
впродовж,-,
2000,-,
-,-,
2011,-,
років,-,
),-,
(,-,
basin_countries,-,
=,-,
Казахстан,Казахстан | I-LOC,LOC
",",-,
Узбекистан,Узбекистан | I-LOC,LOC
",",-,
Туркменістан,Туркменістан | I-LOC,LOC
",",-,
Таджикистан,Таджикистан | I-LOC,LOC
",",-,
Афганістан,Афганістан | I-LOC,LOC
),-,
"""",-,
Гудзонова,-,LOC
затока,-,LOC
"""",-,
(,-,
),-,
—,-,
природний,-,
величезний,-,
та,-,
відносно,-,
мілководний,-,
резервуар,-,
води,-,
у,-,
північно,-,
-,-,
східній,-,
Канаді,Канаді | I-LOC,LOC
.,-,
Гудзонова,-,LOC
затока,-,LOC
—,-,
частина,-,
Північного,-,LOC
Льодовитого,-,LOC
океану,-,LOC
.,-,
На,-,
півночі,-,
Гудзонова,-,LOC
протока,-,LOC
сполучає,-,
Гудзонову,-,LOC
затоку,-,LOC
з,-,
Атлантичним,Атлантичним | I-LOC,LOC
океаном,-,LOC
;,-,
на,-,
її,-,
півдні,-,
—,-,
внутрішня,-,
